RUN	AdvancedSimulation	advancedsimulation	1710035380641	 	3.2.1
REQUEST	47		GET_usuarios	1710035386817	1710035386820	OK	 
USER	Buscar produtos	14	END	1710035382286	1710035386926
USER	Buscar usuários	8	END	1710035383016	1710035386976
USER	Buscar usuários	48	START	1710035387016	1710035387016
REQUEST	48		GET_usuarios	1710035387017	1710035387020	OK	 
USER	Buscar produtos	52	START	1710035387116	1710035387116
REQUEST	52		GET_produtos	1710035387117	1710035387120	OK	 
USER	Buscar usuários	49	START	1710035387216	1710035387216
REQUEST	49		GET_usuarios	1710035387216	1710035387219	OK	 
USER	Buscar usuários	10	END	1710035383426	1710035387376
USER	Buscar usuários	50	START	1710035387416	1710035387416
REQUEST	50		GET_usuarios	1710035387417	1710035387420	OK	 
USER	Buscar carrinhos	18	END	1710035381606	1710035387426
USER	Buscar usuários	30	END	1710035384815	1710035387555
USER	Buscar produtos	53	START	1710035387616	1710035387616
USER	Buscar carrinhos	54	START	1710035387616	1710035387616
USER	Buscar usuários	51	START	1710035387616	1710035387616
REQUEST	53		GET_produtos	1710035387616	1710035387620	OK	 
REQUEST	54		GET_carrinhos	1710035387616	1710035387620	OK	 
REQUEST	51		GET_usuarios	1710035387616	1710035387620	OK	 
USER	Buscar produtos	15	END	1710035382616	1710035387656
USER	Buscar carrinhos	19	END	1710035382616	1710035387706
USER	Buscar usuários	55	START	1710035387816	1710035387816
REQUEST	55		GET_usuarios	1710035387816	1710035387819	OK	 
USER	Buscar produtos	17	END	1710035383616	1710035387845
USER	Buscar produtos	60	START	1710035387945	1710035387945
REQUEST	60		GET_produtos	1710035387946	1710035387949	OK	 
USER	Buscar usuários	56	START	1710035388016	1710035388016
REQUEST	56		GET_usuarios	1710035388017	1710035388020	OK	 
USER	Buscar produtos	16	END	1710035383116	1710035388136
USER	Buscar usuários	57	START	1710035388216	1710035388216
REQUEST	57		GET_usuarios	1710035388216	1710035388221	OK	 
USER	Buscar produtos	61	START	1710035388286	1710035388286
REQUEST	61		GET_produtos	1710035388286	1710035388289	OK	 
USER	Buscar produtos	35	END	1710035385116	1710035388326
USER	Buscar usuários	58	START	1710035388416	1710035388416
REQUEST	58		GET_usuarios	1710035388416	1710035388419	OK	 
USER	Buscar produtos	28	END	1710035384646	1710035388595
USER	Buscar usuários	59	START	1710035388616	1710035388616
USER	Buscar carrinhos	63	START	1710035388616	1710035388616
USER	Buscar produtos	62	START	1710035388616	1710035388616
REQUEST	63		GET_carrinhos	1710035388617	1710035388620	OK	 
REQUEST	59		GET_usuarios	1710035388617	1710035388620	OK	 
REQUEST	62		GET_produtos	1710035388617	1710035388620	OK	 
USER	Buscar produtos	36	END	1710035385616	1710035388646
USER	Buscar usuários	64	START	1710035388816	1710035388816
REQUEST	64		GET_usuarios	1710035388817	1710035388823	OK	 
USER	Buscar usuários	22	END	1710035384037	1710035388897
USER	Buscar usuários	32	END	1710035385216	1710035388897
USER	Buscar usuários	33	END	1710035385415	1710035388976
USER	Buscar produtos	27	END	1710035384296	1710035389017
USER	Buscar usuários	65	START	1710035389016	1710035389016
REQUEST	65		GET_usuarios	1710035389019	1710035389024	OK	 
USER	Buscar produtos	26	END	1710035383965	1710035389076
USER	Buscar produtos	69	START	1710035389116	1710035389116
REQUEST	69		GET_produtos	1710035389117	1710035389123	OK	 
USER	Buscar usuários	48	END	1710035387016	1710035389156
USER	Buscar usuários	31	END	1710035385017	1710035389196
USER	Buscar usuários	66	START	1710035389216	1710035389216
REQUEST	66		GET_usuarios	1710035389217	1710035389221	OK	 
USER	Buscar usuários	24	END	1710035384436	1710035389317
USER	Buscar usuários	67	START	1710035389416	1710035389416
REQUEST	67		GET_usuarios	1710035389417	1710035389422	OK	 
USER	Buscar carrinhos	29	END	1710035384606	1710035389607
USER	Buscar usuários	68	START	1710035389616	1710035389616
USER	Buscar carrinhos	71	START	1710035389616	1710035389616
USER	Buscar produtos	70	START	1710035389616	1710035389616
REQUEST	70		GET_produtos	1710035389617	1710035389621	OK	 
REQUEST	68		GET_usuarios	1710035389617	1710035389622	OK	 
REQUEST	71		GET_carrinhos	1710035389617	1710035389622	OK	 
USER	Buscar usuários	25	END	1710035384636	1710035389656
USER	Buscar produtos	44	END	1710035386285	1710035389656
USER	Buscar usuários	72	START	1710035389816	1710035389816
REQUEST	72		GET_usuarios	1710035389818	1710035389823	OK	 
