RUN	AdvancedSimulation	advancedsimulation	1710034889873	 	3.2.1
USER	Buscar carrinhos	21	START	1710034890882	1710034890882
USER	Buscar usuários	1	START	1710034890876	1710034890876
USER	Buscar produtos	14	START	1710034890881	1710034890881
REQUEST	14		GET_produtos	1710034890897	1710034890915	OK	 
REQUEST	21		GET_carrinhos	1710034890897	1710034890915	OK	 
REQUEST	1		GET_usuarios	1710034890897	1710034890915	OK	 
USER	Buscar usuários	2	START	1710034891052	1710034891052
REQUEST	2		GET_usuarios	1710034891052	1710034891057	OK	 
USER	Buscar produtos	15	START	1710034891212	1710034891212
REQUEST	15		GET_produtos	1710034891214	1710034891220	OK	 
USER	Buscar usuários	3	START	1710034891222	1710034891222
REQUEST	3		GET_usuarios	1710034891222	1710034891226	OK	 
USER	Buscar usuários	4	START	1710034891392	1710034891392
REQUEST	4		GET_usuarios	1710034891394	1710034891400	OK	 
USER	Buscar produtos	16	START	1710034891552	1710034891552
USER	Buscar usuários	5	START	1710034891552	1710034891552
REQUEST	5		GET_usuarios	1710034891553	1710034891560	OK	 
REQUEST	16		GET_produtos	1710034891553	1710034891561	OK	 
USER	Buscar usuários	6	START	1710034891722	1710034891722
REQUEST	6		GET_usuarios	1710034891723	1710034891730	OK	 
USER	Buscar produtos	17	START	1710034891881	1710034891881
REQUEST	17		GET_produtos	1710034891882	1710034891886	OK	 
USER	Buscar usuários	7	START	1710034891892	1710034891892
USER	Buscar carrinhos	22	START	1710034891892	1710034891892
REQUEST	7		GET_usuarios	1710034891892	1710034891897	OK	 
REQUEST	22		GET_carrinhos	1710034891892	1710034891898	OK	 
USER	Buscar usuários	8	START	1710034892052	1710034892052
REQUEST	8		GET_usuarios	1710034892053	1710034892061	OK	 
USER	Buscar produtos	18	START	1710034892212	1710034892212
REQUEST	18		GET_produtos	1710034892214	1710034892221	OK	 
USER	Buscar usuários	9	START	1710034892222	1710034892222
REQUEST	9		GET_usuarios	1710034892222	1710034892225	OK	 
USER	Buscar usuários	10	START	1710034892392	1710034892392
REQUEST	10		GET_usuarios	1710034892394	1710034892433	OK	 
USER	Buscar usuários	11	START	1710034892553	1710034892553
USER	Buscar produtos	19	START	1710034892553	1710034892553
REQUEST	19		GET_produtos	1710034892554	1710034892562	OK	 
REQUEST	11		GET_usuarios	1710034892554	1710034892563	OK	 
USER	Buscar usuários	12	START	1710034892723	1710034892723
REQUEST	12		GET_usuarios	1710034892724	1710034892729	OK	 
USER	Buscar produtos	20	START	1710034892882	1710034892882
REQUEST	20		GET_produtos	1710034892883	1710034892889	OK	 
USER	Buscar carrinhos	23	START	1710034892892	1710034892892
USER	Buscar usuários	13	START	1710034892892	1710034892892
REQUEST	13		GET_usuarios	1710034892892	1710034892896	OK	 
REQUEST	23		GET_carrinhos	1710034892892	1710034892896	OK	 
USER	Buscar usuários	1	END	1710034890876	1710034892944
USER	Buscar usuários	24	START	1710034893051	1710034893051
REQUEST	24		GET_usuarios	1710034893052	1710034893055	OK	 
USER	Buscar usuários	2	END	1710034891052	1710034893072
USER	Buscar usuários	25	START	1710034893222	1710034893222
USER	Buscar produtos	30	START	1710034893222	1710034893222
REQUEST	25		GET_usuarios	1710034893223	1710034893228	OK	 
REQUEST	30		GET_produtos	1710034893223	1710034893228	OK	 
USER	Buscar usuários	3	END	1710034891222	1710034893242
USER	Buscar usuários	26	START	1710034893392	1710034893392
REQUEST	26		GET_usuarios	1710034893394	1710034893399	OK	 
USER	Buscar usuários	4	END	1710034891392	1710034893412
USER	Buscar usuários	27	START	1710034893552	1710034893552
USER	Buscar produtos	31	START	1710034893552	1710034893552
REQUEST	27		GET_usuarios	1710034893552	1710034893555	OK	 
REQUEST	31		GET_produtos	1710034893552	1710034893556	OK	 
USER	Buscar usuários	5	END	1710034891552	1710034893572
USER	Buscar usuários	28	START	1710034893722	1710034893722
REQUEST	28		GET_usuarios	1710034893723	1710034893727	OK	 
USER	Buscar usuários	6	END	1710034891722	1710034893742
USER	Buscar produtos	32	START	1710034893893	1710034893893
USER	Buscar carrinhos	33	START	1710034893893	1710034893893
USER	Buscar usuários	29	START	1710034893892	1710034893892
REQUEST	29		GET_usuarios	1710034893894	1710034893898	OK	 
REQUEST	33		GET_carrinhos	1710034893893	1710034893898	OK	 
REQUEST	32		GET_produtos	1710034893893	1710034893897	OK	 
USER	Buscar usuários	7	END	1710034891892	1710034893912
USER	Buscar produtos	14	END	1710034890881	1710034893943
USER	Buscar usuários	34	START	1710034894052	1710034894052
REQUEST	34		GET_usuarios	1710034894053	1710034894058	OK	 
USER	Buscar usuários	8	END	1710034892052	1710034894081
USER	Buscar usuários	35	START	1710034894222	1710034894222
USER	Buscar produtos	40	START	1710034894222	1710034894222
REQUEST	35		GET_usuarios	1710034894223	1710034894228	OK	 
REQUEST	40		GET_produtos	1710034894223	1710034894228	OK	 
USER	Buscar produtos	15	END	1710034891212	1710034894232
USER	Buscar usuários	9	END	1710034892222	1710034894242
USER	Buscar usuários	36	START	1710034894392	1710034894392
REQUEST	36		GET_usuarios	1710034894394	1710034894399	OK	 
USER	Buscar usuários	10	END	1710034892392	1710034894452
USER	Buscar usuários	37	START	1710034894552	1710034894552
USER	Buscar produtos	41	START	1710034894552	1710034894552
REQUEST	37		GET_usuarios	1710034894553	1710034894560	OK	 
REQUEST	41		GET_produtos	1710034894554	1710034894561	OK	 
USER	Buscar produtos	16	END	1710034891552	1710034894572
USER	Buscar usuários	11	END	1710034892553	1710034894582
USER	Buscar usuários	38	START	1710034894723	1710034894723
REQUEST	38		GET_usuarios	1710034894724	1710034894729	OK	 
USER	Buscar usuários	12	END	1710034892723	1710034894743
USER	Buscar carrinhos	43	START	1710034894893	1710034894893
USER	Buscar usuários	39	START	1710034894893	1710034894893
USER	Buscar produtos	42	START	1710034894893	1710034894893
REQUEST	39		GET_usuarios	1710034894894	1710034894901	OK	 
REQUEST	42		GET_produtos	1710034894894	1710034894901	OK	 
REQUEST	43		GET_carrinhos	1710034894894	1710034894902	OK	 
USER	Buscar produtos	17	END	1710034891881	1710034894902
USER	Buscar usuários	13	END	1710034892892	1710034894912
USER	Buscar carrinhos	21	END	1710034890882	1710034894943
USER	Buscar usuários	44	START	1710034895052	1710034895052
REQUEST	44		GET_usuarios	1710034895053	1710034895056	OK	 
USER	Buscar usuários	24	END	1710034893051	1710034895071
USER	Buscar usuários	45	START	1710034895222	1710034895222
USER	Buscar produtos	50	START	1710034895222	1710034895222
REQUEST	50		GET_produtos	1710034895224	1710034895227	OK	 
REQUEST	45		GET_usuarios	1710034895223	1710034895228	OK	 
USER	Buscar produtos	18	END	1710034892212	1710034895232
USER	Buscar usuários	25	END	1710034893222	1710034895242
USER	Buscar usuários	46	START	1710034895392	1710034895392
REQUEST	46		GET_usuarios	1710034895393	1710034895397	OK	 
USER	Buscar usuários	26	END	1710034893392	1710034895412
USER	Buscar usuários	47	START	1710034895553	1710034895553
USER	Buscar produtos	51	START	1710034895553	1710034895553
REQUEST	47		GET_usuarios	1710034895554	1710034895559	OK	 
REQUEST	51		GET_produtos	1710034895554	1710034895560	OK	 
USER	Buscar usuários	27	END	1710034893552	1710034895573
USER	Buscar produtos	19	END	1710034892553	1710034895582
USER	Buscar usuários	48	START	1710034895722	1710034895722
REQUEST	48		GET_usuarios	1710034895723	1710034895728	OK	 
USER	Buscar usuários	28	END	1710034893722	1710034895742
USER	Buscar usuários	49	START	1710034895892	1710034895892
USER	Buscar carrinhos	53	START	1710034895892	1710034895892
USER	Buscar produtos	52	START	1710034895892	1710034895892
REQUEST	53		GET_carrinhos	1710034895892	1710034895895	OK	 
REQUEST	49		GET_usuarios	1710034895892	1710034895895	OK	 
REQUEST	52		GET_produtos	1710034895892	1710034895896	OK	 
USER	Buscar produtos	20	END	1710034892882	1710034895902
USER	Buscar carrinhos	22	END	1710034891892	1710034895911
USER	Buscar usuários	29	END	1710034893892	1710034895911
USER	Buscar usuários	54	START	1710034896052	1710034896052
REQUEST	54		GET_usuarios	1710034896053	1710034896059	OK	 
USER	Buscar usuários	34	END	1710034894052	1710034896072
