ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710113500755	 	3.2.1
USER	Buscar produtos	1	START	1710113501591	1710113501591
USER	Editar Usuário	25	START	1710113501598	1710113501598
USER	Buscar carrinhos	22	START	1710113501597	1710113501597
REQUEST	25		PUT_Usuario	1710113501618	1710113501634	KO	status.find.is(200), but actually found 400
USER	Editar Usuário	25	END	1710113501598	1710113501657
REQUEST	1		GET_produtos	1710113501618	1710113501658	OK	 
REQUEST	22		GET_carrinhos	1710113501618	1710113501633	OK	 
USER	Buscar produtos	2	START	1710113501702	1710113501702
REQUEST	2		GET_produtos	1710113501703	1710113501707	OK	 
USER	Buscar produtos	3	START	1710113501803	1710113501803
REQUEST	3		GET_produtos	1710113501804	1710113501808	OK	 
USER	Buscar produtos	4	START	1710113501902	1710113501902
REQUEST	4		GET_produtos	1710113501904	1710113501910	OK	 
USER	Buscar produtos	5	START	1710113502003	1710113502003
REQUEST	5		GET_produtos	1710113502004	1710113502010	OK	 
USER	Buscar produtos	6	START	1710113502103	1710113502103
REQUEST	6		GET_produtos	1710113502105	1710113502111	OK	 
USER	Buscar produtos	7	START	1710113502202	1710113502202
REQUEST	7		GET_produtos	1710113502202	1710113502207	OK	 
USER	Buscar produtos	8	START	1710113502302	1710113502302
REQUEST	8		GET_produtos	1710113502304	1710113502311	OK	 
USER	Buscar produtos	9	START	1710113502403	1710113502403
REQUEST	9		GET_produtos	1710113502403	1710113502408	OK	 
USER	Buscar produtos	10	START	1710113502502	1710113502502
REQUEST	10		GET_produtos	1710113502503	1710113502508	OK	 
USER	Editar Usuário	26	START	1710113502593	1710113502593
REQUEST	26		PUT_Usuario	1710113502593	1710113502596	KO	status.find.is(200), but actually found 400
USER	Editar Usuário	26	END	1710113502593	1710113502597
USER	Buscar carrinhos	23	START	1710113502602	1710113502602
USER	Buscar produtos	11	START	1710113502602	1710113502602
REQUEST	11		GET_produtos	1710113502602	1710113502607	OK	 
REQUEST	23		GET_carrinhos	1710113502602	1710113502609	OK	 
USER	Buscar produtos	12	START	1710113502702	1710113502702
REQUEST	12		GET_produtos	1710113502703	1710113502709	OK	 
USER	Buscar produtos	13	START	1710113502802	1710113502802
REQUEST	13		GET_produtos	1710113502803	1710113502810	OK	 
USER	Buscar produtos	14	START	1710113502903	1710113502903
REQUEST	14		GET_produtos	1710113502904	1710113502910	OK	 
USER	Buscar produtos	15	START	1710113503003	1710113503003
REQUEST	15		GET_produtos	1710113503004	1710113503008	OK	 
USER	Buscar produtos	16	START	1710113503103	1710113503103
REQUEST	16		GET_produtos	1710113503105	1710113503110	OK	 
USER	Buscar produtos	17	START	1710113503203	1710113503203
REQUEST	17		GET_produtos	1710113503204	1710113503210	OK	 
USER	Buscar produtos	18	START	1710113503302	1710113503302
REQUEST	18		GET_produtos	1710113503303	1710113503308	OK	 
USER	Buscar produtos	19	START	1710113503403	1710113503403
REQUEST	19		GET_produtos	1710113503405	1710113503410	OK	 
USER	Buscar produtos	20	START	1710113503503	1710113503503
REQUEST	20		GET_produtos	1710113503504	1710113503509	OK	 
USER	Editar Usuário	27	START	1710113503593	1710113503593
REQUEST	27		PUT_Usuario	1710113503594	1710113503599	KO	status.find.is(200), but actually found 400
USER	Editar Usuário	27	END	1710113503593	1710113503600
USER	Buscar carrinhos	24	START	1710113503602	1710113503602
USER	Buscar produtos	21	START	1710113503602	1710113503602
REQUEST	21		GET_produtos	1710113503603	1710113503608	OK	 
REQUEST	24		GET_carrinhos	1710113503603	1710113503608	OK	 
USER	Buscar produtos	28	START	1710113503703	1710113503703
REQUEST	28		GET_produtos	1710113503703	1710113503708	OK	 
USER	Buscar produtos	29	START	1710113503802	1710113503802
REQUEST	29		GET_produtos	1710113503804	1710113503809	OK	 
USER	Buscar produtos	30	START	1710113503903	1710113503903
REQUEST	30		GET_produtos	1710113503905	1710113503909	OK	 
USER	Buscar produtos	31	START	1710113504003	1710113504003
REQUEST	31		GET_produtos	1710113504005	1710113504011	OK	 
USER	Buscar produtos	32	START	1710113504103	1710113504103
REQUEST	32		GET_produtos	1710113504103	1710113504106	OK	 
USER	Buscar produtos	33	START	1710113504203	1710113504203
REQUEST	33		GET_produtos	1710113504205	1710113504210	OK	 
USER	Buscar produtos	34	START	1710113504302	1710113504302
REQUEST	34		GET_produtos	1710113504304	1710113504309	OK	 
USER	Buscar produtos	35	START	1710113504403	1710113504403
REQUEST	35		GET_produtos	1710113504404	1710113504409	OK	 
USER	Buscar produtos	36	START	1710113504503	1710113504503
REQUEST	36		GET_produtos	1710113504504	1710113504509	OK	 
USER	Buscar carrinhos	38	START	1710113504604	1710113504604
USER	Editar Usuário	39	START	1710113504604	1710113504604
USER	Buscar produtos	37	START	1710113504603	1710113504603
REQUEST	37		GET_produtos	1710113504605	1710113504611	OK	 
REQUEST	39		PUT_Usuario	1710113504605	1710113504611	KO	status.find.is(200), but actually found 400
REQUEST	38		GET_carrinhos	1710113504605	1710113504613	OK	 
USER	Editar Usuário	39	END	1710113504604	1710113504614
USER	Buscar produtos	51	START	1710113504703	1710113504703
REQUEST	51		GET_produtos	1710113504705	1710113504711	OK	 
USER	Buscar produtos	52	START	1710113504803	1710113504803
REQUEST	52		GET_produtos	1710113504804	1710113504809	OK	 
USER	Buscar produtos	53	START	1710113504903	1710113504903
REQUEST	53		GET_produtos	1710113504904	1710113504909	OK	 
USER	Buscar produtos	54	START	1710113505003	1710113505003
REQUEST	54		GET_produtos	1710113505003	1710113505008	OK	 
USER	Buscar produtos	55	START	1710113505103	1710113505103
REQUEST	55		GET_produtos	1710113505104	1710113505108	OK	 
USER	Buscar produtos	56	START	1710113505203	1710113505203
REQUEST	56		GET_produtos	1710113505204	1710113505209	OK	 
USER	Buscar produtos	57	START	1710113505303	1710113505303
REQUEST	57		GET_produtos	1710113505304	1710113505310	OK	 
USER	Buscar produtos	58	START	1710113505403	1710113505403
REQUEST	58		GET_produtos	1710113505404	1710113505410	OK	 
USER	Buscar produtos	59	START	1710113505502	1710113505502
REQUEST	59		GET_produtos	1710113505503	1710113505506	OK	 
USER	Buscar produtos	1	END	1710113501591	1710113505573
USER	Buscar produtos	6	END	1710113502103	1710113505592
USER	Buscar usuários	41	START	1710113505602	1710113505602
USER	Buscar usuários	45	START	1710113505603	1710113505603
USER	Buscar usuários	43	START	1710113505603	1710113505603
USER	Buscar usuários	47	START	1710113505604	1710113505604
USER	Buscar usuários	44	START	1710113505605	1710113505605
USER	Editar Usuário	62	START	1710113505605	1710113505605
USER	Buscar usuários	42	START	1710113505605	1710113505605
USER	Buscar usuários	50	START	1710113505607	1710113505607
USER	Buscar usuários	49	START	1710113505607	1710113505607
USER	Buscar produtos	60	START	1710113505606	1710113505606
USER	Buscar carrinhos	61	START	1710113505607	1710113505607
USER	Buscar usuários	46	START	1710113505608	1710113505608
USER	Buscar usuários	48	START	1710113505608	1710113505608
USER	Buscar usuários	40	START	1710113505602	1710113505602
REQUEST	40		GET_usuarios	1710113505603	1710113505612	OK	 
REQUEST	62		PUT_Usuario	1710113505605	1710113505612	KO	status.find.is(200), but actually found 400
USER	Editar Usuário	62	END	1710113505605	1710113505613
REQUEST	41		GET_usuarios	1710113505603	1710113505616	OK	 
REQUEST	60		GET_produtos	1710113505607	1710113505618	OK	 
REQUEST	61		GET_carrinhos	1710113505607	1710113505617	OK	 
REQUEST	45		GET_usuarios	1710113505603	1710113505619	OK	 
REQUEST	43		GET_usuarios	1710113505603	1710113505621	OK	 
REQUEST	47		GET_usuarios	1710113505604	1710113505621	OK	 
REQUEST	42		GET_usuarios	1710113505605	1710113505623	OK	 
REQUEST	44		GET_usuarios	1710113505605	1710113505624	OK	 
REQUEST	49		GET_usuarios	1710113505607	1710113505624	OK	 
REQUEST	50		GET_usuarios	1710113505607	1710113505624	OK	 
REQUEST	48		GET_usuarios	1710113505609	1710113505625	OK	 
REQUEST	46		GET_usuarios	1710113505609	1710113505625	OK	 
USER	Buscar produtos	65	START	1710113505703	1710113505703
REQUEST	65		GET_produtos	1710113505704	1710113505710	OK	 
USER	Buscar produtos	5	END	1710113502003	1710113505783
USER	Buscar produtos	66	START	1710113505803	1710113505803
REQUEST	66		GET_produtos	1710113505805	1710113505809	OK	 
USER	Buscar produtos	67	START	1710113505902	1710113505902
REQUEST	67		GET_produtos	1710113505903	1710113505907	OK	 
USER	Buscar produtos	68	START	1710113506002	1710113506002
REQUEST	68		GET_produtos	1710113506004	1710113506009	OK	 
USER	Buscar usuários	63	START	1710113506103	1710113506103
USER	Buscar produtos	69	START	1710113506103	1710113506103
REQUEST	69		GET_produtos	1710113506104	1710113506111	OK	 
REQUEST	63		GET_usuarios	1710113506104	1710113506111	OK	 
USER	Buscar produtos	70	START	1710113506203	1710113506203
REQUEST	70		GET_produtos	1710113506204	1710113506209	OK	 
USER	Buscar produtos	11	END	1710113502602	1710113506213
USER	Buscar produtos	71	START	1710113506303	1710113506303
REQUEST	71		GET_produtos	1710113506305	1710113506309	OK	 
USER	Buscar produtos	72	START	1710113506403	1710113506403
REQUEST	72		GET_produtos	1710113506405	1710113506410	OK	 
USER	Buscar produtos	4	END	1710113501902	1710113506504
USER	Buscar produtos	73	START	1710113506503	1710113506503
REQUEST	73		GET_produtos	1710113506505	1710113506510	OK	 
USER	Buscar produtos	74	START	1710113506602	1710113506602
USER	Buscar usuários	64	START	1710113506602	1710113506602
USER	Buscar carrinhos	75	START	1710113506602	1710113506602
USER	Editar Usuário	76	START	1710113506602	1710113506602
REQUEST	76		PUT_Usuario	1710113506603	1710113506607	KO	status.find.is(200), but actually found 400
USER	Editar Usuário	76	END	1710113506602	1710113506607
REQUEST	64		GET_usuarios	1710113506603	1710113506608	OK	 
REQUEST	74		GET_produtos	1710113506603	1710113506608	OK	 
REQUEST	75		GET_carrinhos	1710113506603	1710113506608	OK	 
USER	Buscar produtos	3	END	1710113501803	1710113506642
USER	Buscar produtos	79	START	1710113506703	1710113506703
REQUEST	79		GET_produtos	1710113506704	1710113506710	OK	 
USER	Buscar produtos	80	START	1710113506803	1710113506803
REQUEST	80		GET_produtos	1710113506804	1710113506809	OK	 
USER	Buscar produtos	2	END	1710113501702	1710113506843
USER	Buscar produtos	81	START	1710113506903	1710113506903
REQUEST	81		GET_produtos	1710113506904	1710113506909	OK	 
USER	Buscar produtos	82	START	1710113507003	1710113507003
REQUEST	82		GET_produtos	1710113507004	1710113507009	OK	 
USER	Buscar usuários	77	START	1710113507102	1710113507102
USER	Buscar produtos	83	START	1710113507102	1710113507102
REQUEST	77		GET_usuarios	1710113507103	1710113507108	OK	 
REQUEST	83		GET_produtos	1710113507104	1710113507109	OK	 
USER	Buscar produtos	84	START	1710113507203	1710113507203
REQUEST	84		GET_produtos	1710113507204	1710113507209	OK	 
USER	Buscar produtos	85	START	1710113507303	1710113507303
REQUEST	85		GET_produtos	1710113507304	1710113507309	OK	 
USER	Buscar produtos	16	END	1710113503103	1710113507333
USER	Buscar produtos	8	END	1710113502302	1710113507403
USER	Buscar produtos	86	START	1710113507403	1710113507403
REQUEST	86		GET_produtos	1710113507404	1710113507409	OK	 
USER	Buscar produtos	87	START	1710113507503	1710113507503
REQUEST	87		GET_produtos	1710113507504	1710113507509	OK	 
USER	Buscar usuários	78	START	1710113507603	1710113507603
USER	Buscar produtos	88	START	1710113507603	1710113507603
USER	Buscar carrinhos	89	START	1710113507603	1710113507603
USER	Editar Usuário	90	START	1710113507603	1710113507603
REQUEST	90		PUT_Usuario	1710113507604	1710113507607	KO	status.find.is(200), but actually found 400
REQUEST	78		GET_usuarios	1710113507604	1710113507608	OK	 
USER	Editar Usuário	90	END	1710113507603	1710113507608
REQUEST	88		GET_produtos	1710113507604	1710113507609	OK	 
REQUEST	89		GET_carrinhos	1710113507604	1710113507609	OK	 
USER	Buscar produtos	28	END	1710113503703	1710113507622
USER	Buscar produtos	7	END	1710113502202	1710113507683
USER	Buscar produtos	17	END	1710113503203	1710113507694
USER	Buscar produtos	93	START	1710113507703	1710113507703
REQUEST	93		GET_produtos	1710113507704	1710113507708	OK	 
USER	Buscar produtos	10	END	1710113502502	1710113507723
USER	Buscar carrinhos	22	END	1710113501597	1710113507755
USER	Buscar produtos	94	START	1710113507802	1710113507802
REQUEST	94		GET_produtos	1710113507803	1710113507807	OK	 
USER	Buscar produtos	19	END	1710113503403	1710113507833
USER	Buscar produtos	95	START	1710113507903	1710113507903
REQUEST	95		GET_produtos	1710113507904	1710113507911	OK	 
USER	Buscar produtos	15	END	1710113503003	1710113507943
USER	Buscar produtos	20	END	1710113503503	1710113508003
USER	Buscar produtos	96	START	1710113508003	1710113508003
REQUEST	96		GET_produtos	1710113508005	1710113508008	OK	 
USER	Buscar usuários	44	END	1710113505605	1710113508035
USER	Buscar usuários	91	START	1710113508103	1710113508103
USER	Buscar produtos	97	START	1710113508103	1710113508103
REQUEST	97		GET_produtos	1710113508105	1710113508109	OK	 
REQUEST	91		GET_usuarios	1710113508104	1710113508109	OK	 
USER	Buscar produtos	98	START	1710113508203	1710113508203
REQUEST	98		GET_produtos	1710113508204	1710113508210	OK	 
USER	Buscar produtos	12	END	1710113502702	1710113508223
USER	Buscar carrinhos	23	END	1710113502602	1710113508254
USER	Buscar usuários	41	END	1710113505602	1710113508273
USER	Buscar produtos	18	END	1710113503302	1710113508302
USER	Buscar produtos	99	START	1710113508302	1710113508302
REQUEST	99		GET_produtos	1710113508303	1710113508307	OK	 
USER	Buscar produtos	21	END	1710113503602	1710113508312
USER	Buscar produtos	9	END	1710113502403	1710113508403
USER	Buscar produtos	100	START	1710113508403	1710113508403
REQUEST	100		GET_produtos	1710113508403	1710113508407	OK	 
USER	Buscar produtos	13	END	1710113502802	1710113508422
USER	Buscar produtos	54	END	1710113505003	1710113508422
USER	Buscar produtos	51	END	1710113504703	1710113508422
USER	Buscar produtos	29	END	1710113503802	1710113508483
USER	Buscar produtos	101	START	1710113508503	1710113508503
REQUEST	101		GET_produtos	1710113508504	1710113508508	OK	 
USER	Buscar produtos	34	END	1710113504302	1710113508533
USER	Buscar usuários	48	END	1710113505608	1710113508543
USER	Buscar produtos	14	END	1710113502903	1710113508563
USER	Buscar produtos	56	END	1710113505203	1710113508573
USER	Buscar carrinhos	103	START	1710113508603	1710113508603
