RUN	AdvancedSimulation	advancedsimulation	1710034130939	 	3.2.1
USER	Buscar produtos	14	START	1710034131748	1710034131748
USER	Buscar carrinhos	21	START	1710034131750	1710034131750
USER	Buscar usuários	1	START	1710034131742	1710034131742
REQUEST	1		GET_usuarios	1710034131764	1710034131779	OK	 
REQUEST	14		GET_produtos	1710034131764	1710034131778	OK	 
REQUEST	21		GET_carrinhos	1710034131764	1710034131779	OK	 
USER	Buscar usuários	2	START	1710034131919	1710034131919
REQUEST	2		GET_usuarios	1710034131919	1710034131923	OK	 
USER	Buscar produtos	15	START	1710034132080	1710034132080
REQUEST	15		GET_produtos	1710034132082	1710034132090	OK	 
USER	Buscar usuários	3	START	1710034132089	1710034132089
REQUEST	3		GET_usuarios	1710034132090	1710034132094	OK	 
USER	Buscar usuários	4	START	1710034132250	1710034132250
REQUEST	4		GET_usuarios	1710034132251	1710034132258	OK	 
USER	Buscar produtos	16	START	1710034132409	1710034132409
REQUEST	16		GET_produtos	1710034132411	1710034132417	OK	 
USER	Buscar usuários	5	START	1710034132419	1710034132419
REQUEST	5		GET_usuarios	1710034132420	1710034132424	OK	 
USER	Buscar usuários	6	START	1710034132590	1710034132590
REQUEST	6		GET_usuarios	1710034132592	1710034132599	OK	 
USER	Buscar produtos	17	START	1710034132750	1710034132750
USER	Buscar carrinhos	22	START	1710034132751	1710034132751
USER	Buscar usuários	7	START	1710034132750	1710034132750
REQUEST	17		GET_produtos	1710034132752	1710034132761	OK	 
REQUEST	22		GET_carrinhos	1710034132752	1710034132763	OK	 
REQUEST	7		GET_usuarios	1710034132752	1710034132764	OK	 
USER	Buscar usuários	8	START	1710034132920	1710034132920
REQUEST	8		GET_usuarios	1710034132922	1710034132928	OK	 
USER	Buscar produtos	18	START	1710034133089	1710034133089
USER	Buscar usuários	9	START	1710034133089	1710034133089
REQUEST	9		GET_usuarios	1710034133091	1710034133098	OK	 
REQUEST	18		GET_produtos	1710034133091	1710034133098	OK	 
USER	Buscar usuários	10	START	1710034133250	1710034133250
REQUEST	10		GET_usuarios	1710034133251	1710034133255	OK	 
USER	Buscar usuários	11	START	1710034133420	1710034133420
USER	Buscar produtos	19	START	1710034133420	1710034133420
REQUEST	11		GET_usuarios	1710034133421	1710034133457	OK	 
REQUEST	19		GET_produtos	1710034133422	1710034133456	OK	 
USER	Buscar usuários	12	START	1710034133590	1710034133590
REQUEST	12		GET_usuarios	1710034133591	1710034133597	OK	 
USER	Buscar carrinhos	23	START	1710034133750	1710034133750
USER	Buscar usuários	13	START	1710034133750	1710034133750
REQUEST	13		GET_usuarios	1710034133753	1710034133758	OK	 
REQUEST	23		GET_carrinhos	1710034133752	1710034133758	OK	 
USER	Buscar produtos	20	START	1710034133759	1710034133759
REQUEST	20		GET_produtos	1710034133759	1710034133764	OK	 
USER	Buscar usuários	1	END	1710034131742	1710034133800
USER	Buscar usuários	24	START	1710034133919	1710034133919
REQUEST	24		GET_usuarios	1710034133920	1710034133923	OK	 
USER	Buscar usuários	2	END	1710034131919	1710034133939
USER	Buscar produtos	30	START	1710034134080	1710034134080
REQUEST	30		GET_produtos	1710034134081	1710034134085	OK	 
USER	Buscar usuários	25	START	1710034134089	1710034134089
REQUEST	25		GET_usuarios	1710034134089	1710034134092	OK	 
USER	Buscar usuários	3	END	1710034132089	1710034134110
USER	Buscar usuários	26	START	1710034134250	1710034134250
REQUEST	26		GET_usuarios	1710034134251	1710034134255	OK	 
USER	Buscar usuários	4	END	1710034132250	1710034134279
USER	Buscar usuários	27	START	1710034134420	1710034134420
USER	Buscar produtos	31	START	1710034134420	1710034134420
REQUEST	27		GET_usuarios	1710034134421	1710034134426	OK	 
REQUEST	31		GET_produtos	1710034134422	1710034134425	OK	 
USER	Buscar usuários	5	END	1710034132419	1710034134440
USER	Buscar usuários	28	START	1710034134590	1710034134590
REQUEST	28		GET_usuarios	1710034134592	1710034134596	OK	 
USER	Buscar usuários	6	END	1710034132590	1710034134620
USER	Buscar usuários	29	START	1710034134750	1710034134750
USER	Buscar carrinhos	33	START	1710034134750	1710034134750
USER	Buscar produtos	32	START	1710034134751	1710034134751
REQUEST	29		GET_usuarios	1710034134751	1710034134758	OK	 
REQUEST	33		GET_carrinhos	1710034134752	1710034134758	OK	 
REQUEST	32		GET_produtos	1710034134752	1710034134759	OK	 
USER	Buscar usuários	7	END	1710034132750	1710034134779
USER	Buscar produtos	14	END	1710034131748	1710034134801
USER	Buscar usuários	34	START	1710034134920	1710034134920
REQUEST	34		GET_usuarios	1710034134922	1710034134927	OK	 
USER	Buscar usuários	8	END	1710034132920	1710034134939
USER	Buscar usuários	35	START	1710034135090	1710034135090
USER	Buscar produtos	40	START	1710034135090	1710034135090
REQUEST	40		GET_produtos	1710034135091	1710034135096	OK	 
REQUEST	35		GET_usuarios	1710034135091	1710034135097	OK	 
USER	Buscar produtos	15	END	1710034132080	1710034135109
USER	Buscar usuários	9	END	1710034133089	1710034135109
USER	Buscar usuários	36	START	1710034135250	1710034135250
REQUEST	36		GET_usuarios	1710034135252	1710034135257	OK	 
USER	Buscar usuários	10	END	1710034133250	1710034135270
USER	Buscar usuários	37	START	1710034135419	1710034135419
