ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710037188708	 	3.2.1
USER	Buscar usuários	22	END	1710037192087	1710037194717
USER	Buscar usuários	47	START	1710037194887	1710037194887
REQUEST	47		GET_usuarios	1710037194888	1710037194891	OK	 
USER	Buscar usuários	3	END	1710037190087	1710037194977
USER	Buscar usuários	48	START	1710037195087	1710037195087
REQUEST	48		GET_usuarios	1710037195087	1710037195091	OK	 
USER	Buscar produtos	52	START	1710037195186	1710037195186
REQUEST	52		GET_produtos	1710037195187	1710037195190	OK	 
USER	Buscar usuários	24	END	1710037192487	1710037195197
USER	Buscar carrinhos	18	END	1710037189680	1710037195287
USER	Buscar usuários	49	START	1710037195287	1710037195287
REQUEST	49		GET_usuarios	1710037195288	1710037195291	OK	 
USER	Buscar usuários	5	END	1710037190487	1710037195447
USER	Buscar usuários	50	START	1710037195488	1710037195488
REQUEST	50		GET_usuarios	1710037195489	1710037195494	OK	 
USER	Buscar produtos	17	END	1710037191688	1710037195538
USER	Buscar produtos	15	END	1710037190688	1710037195558
USER	Buscar usuários	30	END	1710037192887	1710037195667
USER	Buscar produtos	53	START	1710037195687	1710037195687
USER	Buscar usuários	51	START	1710037195687	1710037195687
USER	Buscar carrinhos	54	START	1710037195687	1710037195687
REQUEST	54		GET_carrinhos	1710037195689	1710037195694	OK	 
REQUEST	51		GET_usuarios	1710037195689	1710037195694	OK	 
REQUEST	53		GET_produtos	1710037195688	1710037195696	OK	 
USER	Buscar produtos	14	END	1710037190357	1710037195728
USER	Buscar usuários	55	START	1710037195887	1710037195887
REQUEST	55		GET_usuarios	1710037195887	1710037195892	OK	 
USER	Buscar produtos	16	END	1710037191187	1710037195987
USER	Buscar produtos	60	START	1710037196017	1710037196017
REQUEST	60		GET_produtos	1710037196019	1710037196024	OK	 
USER	Buscar produtos	27	END	1710037192347	1710037196087
USER	Buscar usuários	56	START	1710037196087	1710037196087
REQUEST	56		GET_usuarios	1710037196088	1710037196092	OK	 
USER	Buscar usuários	23	END	1710037192287	1710037196137
USER	Buscar usuários	32	END	1710037193286	1710037196287
USER	Buscar usuários	57	START	1710037196287	1710037196287
REQUEST	57		GET_usuarios	1710037196287	1710037196290	OK	 
USER	Buscar usuários	25	END	1710037192687	1710037196317
