ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710036550220	 	3.2.1
USER	Buscar produtos	12	START	1710036551042	1710036551042
USER	Buscar usuários	1	START	1710036551036	1710036551036
USER	Buscar carrinhos	18	START	1710036551043	1710036551043
REQUEST	1		GET_usuarios	1710036551064	1710036551080	OK	 
REQUEST	12		GET_produtos	1710036551064	1710036551080	OK	 
REQUEST	18		GET_carrinhos	1710036551064	1710036551080	OK	 
USER	Buscar usuários	2	START	1710036551250	1710036551250
REQUEST	2		GET_usuarios	1710036551251	1710036551257	OK	 
USER	Buscar produtos	13	START	1710036551380	1710036551380
REQUEST	13		GET_produtos	1710036551381	1710036551407	OK	 
USER	Buscar usuários	3	START	1710036551450	1710036551450
REQUEST	3		GET_usuarios	1710036551451	1710036551456	OK	 
USER	Buscar usuários	4	START	1710036551650	1710036551650
REQUEST	4		GET_usuarios	1710036551651	1710036551657	OK	 
USER	Buscar produtos	14	START	1710036551710	1710036551710
REQUEST	14		GET_produtos	1710036551711	1710036551714	OK	 
USER	Buscar usuários	5	START	1710036551850	1710036551850
REQUEST	5		GET_usuarios	1710036551851	1710036551854	OK	 
USER	Buscar carrinhos	19	START	1710036552050	1710036552050
USER	Buscar produtos	15	START	1710036552050	1710036552050
REQUEST	15		GET_produtos	1710036552051	1710036552057	OK	 
REQUEST	19		GET_carrinhos	1710036552050	1710036552058	OK	 
USER	Buscar usuários	6	START	1710036552060	1710036552060
REQUEST	6		GET_usuarios	1710036552060	1710036552065	OK	 
USER	Buscar usuários	7	START	1710036552260	1710036552260
REQUEST	7		GET_usuarios	1710036552261	1710036552265	OK	 
USER	Buscar usuários	8	START	1710036552461	1710036552461
REQUEST	8		GET_usuarios	1710036552461	1710036552467	OK	 
USER	Buscar produtos	16	START	1710036552551	1710036552551
REQUEST	16		GET_produtos	1710036552552	1710036552556	OK	 
USER	Buscar usuários	9	START	1710036552661	1710036552661
REQUEST	9		GET_usuarios	1710036552662	1710036552667	OK	 
USER	Buscar usuários	10	START	1710036552861	1710036552861
REQUEST	10		GET_usuarios	1710036552862	1710036552865	OK	 
USER	Buscar carrinhos	20	START	1710036553050	1710036553050
USER	Buscar produtos	17	START	1710036553050	1710036553050
REQUEST	20		GET_carrinhos	1710036553051	1710036553055	OK	 
REQUEST	17		GET_produtos	1710036553051	1710036553056	OK	 
USER	Buscar usuários	11	START	1710036553061	1710036553061
REQUEST	11		GET_usuarios	1710036553061	1710036553064	OK	 
USER	Buscar usuários	21	START	1710036553250	1710036553250
REQUEST	21		GET_usuarios	1710036553251	1710036553254	OK	 
USER	Buscar produtos	26	START	1710036553380	1710036553380
REQUEST	26		GET_produtos	1710036553381	1710036553383	OK	 
USER	Buscar usuários	22	START	1710036553451	1710036553451
REQUEST	22		GET_usuarios	1710036553452	1710036553456	OK	 
USER	Buscar usuários	23	START	1710036553650	1710036553650
REQUEST	23		GET_usuarios	1710036553651	1710036553654	OK	 
USER	Buscar produtos	27	START	1710036553711	1710036553711
REQUEST	27		GET_produtos	1710036553712	1710036553716	OK	 
USER	Buscar usuários	24	START	1710036553850	1710036553850
REQUEST	24		GET_usuarios	1710036553851	1710036553854	OK	 
USER	Buscar usuários	3	END	1710036551450	1710036553903
USER	Buscar usuários	25	START	1710036554050	1710036554050
USER	Buscar carrinhos	29	START	1710036554050	1710036554050
USER	Buscar produtos	28	START	1710036554050	1710036554050
