ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710118642459	 	3.2.1
USER	Buscar produtos	1	START	1710118643206	1710118643206
USER	Criar Usuário	25	START	1710118643214	1710118643214
USER	Buscar carrinhos	22	START	1710118643213	1710118643213
REQUEST	1		GET_produtos	1710118643233	1710118643254	OK	 
REQUEST	25		POST_Usuario	1710118643233	1710118643269	OK	 
USER	Criar Usuário	25	END	1710118643214	1710118643273
REQUEST	22		GET_carrinhos	1710118643233	1710118643254	OK	 
USER	Buscar produtos	2	START	1710118643316	1710118643316
REQUEST	2		GET_produtos	1710118643316	1710118643321	OK	 
USER	Buscar produtos	3	START	1710118643416	1710118643416
REQUEST	3		GET_produtos	1710118643417	1710118643425	OK	 
USER	Buscar produtos	4	START	1710118643516	1710118643516
REQUEST	4		GET_produtos	1710118643518	1710118643526	OK	 
USER	Buscar produtos	5	START	1710118643616	1710118643616
REQUEST	5		GET_produtos	1710118643618	1710118643626	OK	 
USER	Buscar produtos	6	START	1710118643716	1710118643716
REQUEST	6		GET_produtos	1710118643717	1710118643724	OK	 
USER	Buscar produtos	7	START	1710118643816	1710118643816
REQUEST	7		GET_produtos	1710118643817	1710118643822	OK	 
USER	Buscar produtos	8	START	1710118643916	1710118643916
REQUEST	8		GET_produtos	1710118643917	1710118643925	OK	 
USER	Buscar produtos	9	START	1710118644016	1710118644016
REQUEST	9		GET_produtos	1710118644016	1710118644022	OK	 
USER	Buscar produtos	10	START	1710118644117	1710118644117
REQUEST	10		GET_produtos	1710118644118	1710118644127	OK	 
USER	Buscar carrinhos	23	START	1710118644206	1710118644206
USER	Criar Usuário	26	START	1710118644206	1710118644206
USER	Buscar produtos	11	START	1710118644216	1710118644216
REQUEST	23		GET_carrinhos	1710118644208	1710118644216	OK	 
REQUEST	26		POST_Usuario	1710118644209	1710118644213	KO	status.find.is(201), but actually found 400
USER	Criar Usuário	26	END	1710118644206	1710118644222
REQUEST	11		GET_produtos	1710118644216	1710118644222	OK	 
USER	Buscar produtos	12	START	1710118644316	1710118644316
REQUEST	12		GET_produtos	1710118644316	1710118644320	OK	 
USER	Buscar produtos	13	START	1710118644416	1710118644416
REQUEST	13		GET_produtos	1710118644417	1710118644422	OK	 
USER	Buscar produtos	14	START	1710118644516	1710118644516
REQUEST	14		GET_produtos	1710118644516	1710118644520	OK	 
USER	Buscar produtos	15	START	1710118644616	1710118644616
REQUEST	15		GET_produtos	1710118644616	1710118644622	OK	 
USER	Buscar produtos	16	START	1710118644716	1710118644716
REQUEST	16		GET_produtos	1710118644718	1710118644724	OK	 
USER	Buscar produtos	17	START	1710118644816	1710118644816
REQUEST	17		GET_produtos	1710118644818	1710118644824	OK	 
USER	Buscar produtos	18	START	1710118644916	1710118644916
REQUEST	18		GET_produtos	1710118644917	1710118644921	OK	 
USER	Buscar produtos	19	START	1710118645017	1710118645017
REQUEST	19		GET_produtos	1710118645018	1710118645024	OK	 
USER	Buscar produtos	20	START	1710118645117	1710118645117
REQUEST	20		GET_produtos	1710118645118	1710118645124	OK	 
USER	Buscar carrinhos	24	START	1710118645207	1710118645207
USER	Criar Usuário	27	START	1710118645207	1710118645207
REQUEST	27		POST_Usuario	1710118645208	1710118645213	KO	status.find.is(201), but actually found 400
REQUEST	24		GET_carrinhos	1710118645208	1710118645214	OK	 
USER	Criar Usuário	27	END	1710118645207	1710118645215
USER	Buscar produtos	21	START	1710118645216	1710118645216
REQUEST	21		GET_produtos	1710118645216	1710118645221	OK	 
USER	Buscar produtos	28	START	1710118645306	1710118645306
REQUEST	28		GET_produtos	1710118645307	1710118645313	OK	 
USER	Buscar produtos	29	START	1710118645406	1710118645406
REQUEST	29		GET_produtos	1710118645406	1710118645409	OK	 
USER	Buscar produtos	30	START	1710118645506	1710118645506
REQUEST	30		GET_produtos	1710118645508	1710118645515	OK	 
USER	Buscar produtos	31	START	1710118645607	1710118645607
REQUEST	31		GET_produtos	1710118645608	1710118645615	OK	 
USER	Buscar produtos	32	START	1710118645706	1710118645706
REQUEST	32		GET_produtos	1710118645707	1710118645714	OK	 
USER	Buscar produtos	33	START	1710118645806	1710118645806
REQUEST	33		GET_produtos	1710118645807	1710118645811	OK	 
USER	Buscar produtos	34	START	1710118645906	1710118645906
REQUEST	34		GET_produtos	1710118645908	1710118645913	OK	 
USER	Buscar produtos	35	START	1710118646006	1710118646006
REQUEST	35		GET_produtos	1710118646007	1710118646012	OK	 
USER	Buscar produtos	36	START	1710118646106	1710118646106
REQUEST	36		GET_produtos	1710118646107	1710118646112	OK	 
USER	Buscar produtos	37	START	1710118646207	1710118646207
USER	Buscar carrinhos	38	START	1710118646207	1710118646207
USER	Criar Usuário	39	START	1710118646207	1710118646207
REQUEST	37		GET_produtos	1710118646208	1710118646215	OK	 
REQUEST	39		POST_Usuario	1710118646208	1710118646216	OK	 
REQUEST	38		GET_carrinhos	1710118646208	1710118646216	OK	 
USER	Criar Usuário	39	END	1710118646207	1710118646217
USER	Buscar produtos	51	START	1710118646306	1710118646306
REQUEST	51		GET_produtos	1710118646308	1710118646313	OK	 
USER	Buscar produtos	52	START	1710118646406	1710118646406
