ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	SimpleSimulation	simplesimulation	1710122537299	 	3.2.1
USER	Buscar usuários	8	START	1710122542136	1710122542136
USER	Buscar usuários	5	START	1710122542136	1710122542136
USER	Buscar usuários	7	START	1710122542136	1710122542136
USER	Buscar usuários	11	START	1710122542137	1710122542137
USER	Buscar usuários	9	START	1710122542137	1710122542137
USER	Buscar usuários	4	START	1710122542135	1710122542135
USER	Buscar usuários	3	START	1710122542135	1710122542135
USER	Buscar usuários	2	START	1710122542134	1710122542134
USER	Buscar usuários	6	START	1710122542135	1710122542135
USER	Buscar usuários	10	START	1710122542138	1710122542138
USER	Buscar usuários	1	START	1710122542134	1710122542134
REQUEST	4		GET_usuarios	1710122542186	1710122542225	OK	 
REQUEST	8		GET_usuarios	1710122542186	1710122542218	OK	 
REQUEST	11		GET_usuarios	1710122542186	1710122542222	OK	 
REQUEST	9		GET_usuarios	1710122542186	1710122542218	OK	 
REQUEST	10		GET_usuarios	1710122542186	1710122542232	OK	 
REQUEST	5		GET_usuarios	1710122542186	1710122542220	OK	 
REQUEST	3		GET_usuarios	1710122542186	1710122542234	OK	 
REQUEST	1		GET_usuarios	1710122542186	1710122542232	OK	 
REQUEST	2		GET_usuarios	1710122542186	1710122542227	OK	 
REQUEST	7		GET_usuarios	1710122542186	1710122542223	OK	 
REQUEST	6		GET_usuarios	1710122542186	1710122542232	OK	 
USER	Buscar usuários	2	END	1710122542134	1710122542247
USER	Buscar usuários	5	END	1710122542136	1710122542247
USER	Buscar usuários	3	END	1710122542135	1710122542247
USER	Buscar usuários	1	END	1710122542134	1710122542247
USER	Buscar usuários	9	END	1710122542137	1710122542247
USER	Buscar usuários	4	END	1710122542135	1710122542247
USER	Buscar usuários	10	END	1710122542138	1710122542247
USER	Buscar usuários	7	END	1710122542136	1710122542247
USER	Buscar usuários	11	END	1710122542137	1710122542247
USER	Buscar usuários	6	END	1710122542135	1710122542247
USER	Buscar usuários	8	END	1710122542136	1710122542248
USER	Buscar usuários	12	START	1710122542634	1710122542634
REQUEST	12		GET_usuarios	1710122542636	1710122542645	OK	 
USER	Buscar usuários	12	END	1710122542634	1710122542646
USER	Buscar usuários	13	START	1710122543135	1710122543135
REQUEST	13		GET_usuarios	1710122543136	1710122543141	OK	 
USER	Buscar usuários	13	END	1710122543135	1710122543141
USER	Buscar usuários	14	START	1710122543634	1710122543634
REQUEST	14		GET_usuarios	1710122543636	1710122543642	OK	 
USER	Buscar usuários	14	END	1710122543634	1710122543643
USER	Buscar usuários	15	START	1710122544135	1710122544135
REQUEST	15		GET_usuarios	1710122544136	1710122544144	OK	 
USER	Buscar usuários	15	END	1710122544135	1710122544145
USER	Buscar usuários	16	START	1710122544624	1710122544624
REQUEST	16		GET_usuarios	1710122544626	1710122544633	OK	 
USER	Buscar usuários	16	END	1710122544624	1710122544634
USER	Buscar usuários	17	START	1710122545124	1710122545124
REQUEST	17		GET_usuarios	1710122545125	1710122545131	OK	 
USER	Buscar usuários	17	END	1710122545124	1710122545132
USER	Buscar usuários	18	START	1710122545635	1710122545635
REQUEST	18		GET_usuarios	1710122545637	1710122545644	OK	 
USER	Buscar usuários	18	END	1710122545635	1710122545644
USER	Buscar usuários	19	START	1710122546135	1710122546135
REQUEST	19		GET_usuarios	1710122546136	1710122546143	OK	 
USER	Buscar usuários	19	END	1710122546135	1710122546144
USER	Buscar usuários	20	START	1710122546635	1710122546635
REQUEST	20		GET_usuarios	1710122546636	1710122546641	OK	 
USER	Buscar usuários	20	END	1710122546635	1710122546642
USER	Buscar usuários	21	START	1710122547145	1710122547145
REQUEST	21		GET_usuarios	1710122547146	1710122547151	OK	 
USER	Buscar usuários	21	END	1710122547145	1710122547152
USER	Buscar usuários	22	START	1710122547204	1710122547204
REQUEST	22		GET_usuarios	1710122547205	1710122547210	OK	 
