ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710039073269	 	3.2.1
USER	Buscar produtos	1	START	1710039074129	1710039074129
USER	Buscar carrinhos	22	START	1710039074135	1710039074135
REQUEST	1		GET_produtos	1710039074154	1710039074165	OK	 
REQUEST	22		GET_carrinhos	1710039074154	1710039074164	OK	 
USER	Buscar produtos	2	START	1710039074238	1710039074238
REQUEST	2		GET_produtos	1710039074239	1710039074246	OK	 
USER	Buscar produtos	3	START	1710039074338	1710039074338
REQUEST	3		GET_produtos	1710039074339	1710039074344	OK	 
USER	Buscar produtos	4	START	1710039074438	1710039074438
REQUEST	4		GET_produtos	1710039074439	1710039074442	OK	 
USER	Buscar produtos	5	START	1710039074538	1710039074538
REQUEST	5		GET_produtos	1710039074539	1710039074546	OK	 
USER	Buscar produtos	6	START	1710039074638	1710039074638
REQUEST	6		GET_produtos	1710039074640	1710039074647	OK	 
USER	Buscar produtos	7	START	1710039074738	1710039074738
REQUEST	7		GET_produtos	1710039074740	1710039074747	OK	 
USER	Buscar produtos	8	START	1710039074838	1710039074838
REQUEST	8		GET_produtos	1710039074839	1710039074844	OK	 
USER	Buscar produtos	9	START	1710039074938	1710039074938
REQUEST	9		GET_produtos	1710039074939	1710039074947	OK	 
USER	Buscar produtos	10	START	1710039075038	1710039075038
REQUEST	10		GET_produtos	1710039075039	1710039075048	OK	 
USER	Buscar carrinhos	23	START	1710039075139	1710039075139
USER	Buscar produtos	11	START	1710039075139	1710039075139
REQUEST	11		GET_produtos	1710039075141	1710039075149	OK	 
REQUEST	23		GET_carrinhos	1710039075141	1710039075149	OK	 
USER	Buscar produtos	12	START	1710039075238	1710039075238
REQUEST	12		GET_produtos	1710039075239	1710039075247	OK	 
USER	Buscar produtos	13	START	1710039075338	1710039075338
REQUEST	13		GET_produtos	1710039075339	1710039075345	OK	 
USER	Buscar produtos	14	START	1710039075438	1710039075438
REQUEST	14		GET_produtos	1710039075439	1710039075445	OK	 
USER	Buscar produtos	15	START	1710039075539	1710039075539
REQUEST	15		GET_produtos	1710039075541	1710039075547	OK	 
USER	Buscar produtos	16	START	1710039075639	1710039075639
REQUEST	16		GET_produtos	1710039075640	1710039075647	OK	 
USER	Buscar produtos	17	START	1710039075739	1710039075739
REQUEST	17		GET_produtos	1710039075740	1710039075747	OK	 
USER	Buscar produtos	18	START	1710039075838	1710039075838
REQUEST	18		GET_produtos	1710039075839	1710039075843	OK	 
USER	Buscar produtos	19	START	1710039075938	1710039075938
REQUEST	19		GET_produtos	1710039075939	1710039075942	OK	 
USER	Buscar produtos	20	START	1710039076038	1710039076038
REQUEST	20		GET_produtos	1710039076039	1710039076045	OK	 
USER	Buscar carrinhos	24	START	1710039076139	1710039076139
USER	Buscar produtos	21	START	1710039076139	1710039076139
REQUEST	24		GET_carrinhos	1710039076140	1710039076145	OK	 
REQUEST	21		GET_produtos	1710039076140	1710039076146	OK	 
USER	Buscar produtos	25	START	1710039076239	1710039076239
REQUEST	25		GET_produtos	1710039076240	1710039076246	OK	 
USER	Buscar produtos	26	START	1710039076338	1710039076338
REQUEST	26		GET_produtos	1710039076339	1710039076342	OK	 
USER	Buscar produtos	27	START	1710039076438	1710039076438
REQUEST	27		GET_produtos	1710039076439	1710039076444	OK	 
