ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	SimpleSimulation	simplesimulation	1710121519660	 	3.2.1
USER	Buscar usuários	50	START	1710121531265	1710121531265
REQUEST	50		GET_usuarios	1710121531266	1710121531269	OK	 
USER	Buscar usuários	51	START	1710121531325	1710121531325
USER	Buscar usuários	52	START	1710121531325	1710121531325
REQUEST	51		GET_usuarios	1710121531326	1710121531333	OK	 
REQUEST	52		GET_usuarios	1710121531327	1710121531333	OK	 
USER	Buscar usuários	53	START	1710121531345	1710121531345
REQUEST	53		GET_usuarios	1710121531346	1710121531349	OK	 
USER	Buscar usuários	54	START	1710121531385	1710121531385
REQUEST	54		GET_usuarios	1710121531386	1710121531391	OK	 
USER	Buscar usuários	55	START	1710121531405	1710121531405
REQUEST	55		GET_usuarios	1710121531406	1710121531410	OK	 
USER	Buscar usuários	56	START	1710121531415	1710121531415
REQUEST	56		GET_usuarios	1710121531415	1710121531418	OK	 
USER	Buscar usuários	57	START	1710121531505	1710121531505
REQUEST	57		GET_usuarios	1710121531505	1710121531508	OK	 
USER	Buscar usuários	58	START	1710121531565	1710121531565
REQUEST	58		GET_usuarios	1710121531566	1710121531568	OK	 
USER	Buscar usuários	59	START	1710121531605	1710121531605
USER	Buscar usuários	60	START	1710121531605	1710121531605
REQUEST	60		GET_usuarios	1710121531606	1710121531610	OK	 
REQUEST	59		GET_usuarios	1710121531606	1710121531610	OK	 
USER	Buscar usuários	18	END	1710121528186	1710121531635
USER	Buscar usuários	61	START	1710121531655	1710121531655
REQUEST	61		GET_usuarios	1710121531656	1710121531659	OK	 
USER	Buscar usuários	62	START	1710121531705	1710121531705
REQUEST	62		GET_usuarios	1710121531706	1710121531708	OK	 
USER	Buscar usuários	63	START	1710121531735	1710121531735
USER	Buscar usuários	64	START	1710121531735	1710121531735
REQUEST	64		GET_usuarios	1710121531737	1710121531742	OK	 
REQUEST	63		GET_usuarios	1710121531736	1710121531742	OK	 
USER	Buscar usuários	65	START	1710121531755	1710121531755
REQUEST	65		GET_usuarios	1710121531756	1710121531759	OK	 
USER	Buscar usuários	66	START	1710121531765	1710121531765
REQUEST	66		GET_usuarios	1710121531765	1710121531768	OK	 
USER	Buscar usuários	67	START	1710121531825	1710121531825
REQUEST	67		GET_usuarios	1710121531826	1710121531832	OK	 
USER	Buscar usuários	69	START	1710121531845	1710121531845
USER	Buscar usuários	68	START	1710121531845	1710121531845
REQUEST	69		GET_usuarios	1710121531845	1710121531848	OK	 
REQUEST	68		GET_usuarios	1710121531845	1710121531849	OK	 
USER	Buscar usuários	70	START	1710121531936	1710121531936
REQUEST	70		GET_usuarios	1710121531937	1710121531942	OK	 
USER	Buscar usuários	71	START	1710121531955	1710121531955
REQUEST	71		GET_usuarios	1710121531956	1710121531960	OK	 
USER	Buscar usuários	72	START	1710121531995	1710121531995
REQUEST	72		GET_usuarios	1710121531996	1710121532001	OK	 
USER	Buscar usuários	73	START	1710121532015	1710121532015
REQUEST	73		GET_usuarios	1710121532015	1710121532020	OK	 
USER	Buscar usuários	74	START	1710121532025	1710121532025
REQUEST	74		GET_usuarios	1710121532025	1710121532028	OK	 
USER	Buscar usuários	75	START	1710121532034	1710121532034
REQUEST	75		GET_usuarios	1710121532035	1710121532037	OK	 
USER	Buscar usuários	76	START	1710121532155	1710121532155
REQUEST	76		GET_usuarios	1710121532156	1710121532162	OK	 
USER	Buscar usuários	77	START	1710121532165	1710121532165
REQUEST	77		GET_usuarios	1710121532165	1710121532168	OK	 
USER	Buscar usuários	78	START	1710121532174	1710121532174
REQUEST	78		GET_usuarios	1710121532175	1710121532177	OK	 
USER	Buscar usuários	79	START	1710121532295	1710121532295
REQUEST	79		GET_usuarios	1710121532296	1710121532302	OK	 
USER	Buscar usuários	80	START	1710121532385	1710121532385
REQUEST	80		GET_usuarios	1710121532386	1710121532391	OK	 
USER	Buscar usuários	81	START	1710121532395	1710121532395
REQUEST	81		GET_usuarios	1710121532395	1710121532397	OK	 
USER	Buscar usuários	23	END	1710121529955	1710121532485
USER	Buscar usuários	82	START	1710121532576	1710121532576
REQUEST	82		GET_usuarios	1710121532577	1710121532582	OK	 
USER	Buscar usuários	83	START	1710121532605	1710121532605
REQUEST	83		GET_usuarios	1710121532606	1710121532611	OK	 
USER	Buscar usuários	84	START	1710121532635	1710121532635
REQUEST	84		GET_usuarios	1710121532636	1710121532640	OK	 
USER	Buscar usuários	85	START	1710121532816	1710121532816
REQUEST	85		GET_usuarios	1710121532816	1710121532822	OK	 
USER	Buscar usuários	22	END	1710121529875	1710121532846
USER	Buscar usuários	86	START	1710121532875	1710121532875
REQUEST	86		GET_usuarios	1710121532876	1710121532880	OK	 
USER	Buscar usuários	87	START	1710121532945	1710121532945
REQUEST	87		GET_usuarios	1710121532946	1710121532950	OK	 
USER	Buscar usuários	88	START	1710121532976	1710121532976
REQUEST	88		GET_usuarios	1710121532977	1710121532982	OK	 
USER	Buscar usuários	24	END	1710121529975	1710121532996
USER	Buscar usuários	90	START	1710121533016	1710121533016
USER	Buscar usuários	89	START	1710121533016	1710121533016
REQUEST	89		GET_usuarios	1710121533017	1710121533024	OK	 
REQUEST	90		GET_usuarios	1710121533017	1710121533024	OK	 
USER	Buscar usuários	91	START	1710121533025	1710121533025
REQUEST	91		GET_usuarios	1710121533025	1710121533028	OK	 
USER	Buscar usuários	92	START	1710121533085	1710121533085
USER	Buscar usuários	93	START	1710121533085	1710121533085
REQUEST	92		GET_usuarios	1710121533086	1710121533091	OK	 
REQUEST	93		GET_usuarios	1710121533086	1710121533091	OK	 
USER	Buscar usuários	34	END	1710121530365	1710121533115
USER	Buscar usuários	94	START	1710121533115	1710121533115
REQUEST	94		GET_usuarios	1710121533117	1710121533121	OK	 
USER	Buscar usuários	95	START	1710121533145	1710121533145
USER	Buscar usuários	96	START	1710121533145	1710121533145
REQUEST	95		GET_usuarios	1710121533146	1710121533150	OK	 
REQUEST	96		GET_usuarios	1710121533146	1710121533151	OK	 
USER	Buscar usuários	30	END	1710121530295	1710121533226
USER	Buscar usuários	97	START	1710121533255	1710121533255
REQUEST	97		GET_usuarios	1710121533256	1710121533259	OK	 
USER	Buscar usuários	98	START	1710121533265	1710121533265
REQUEST	98		GET_usuarios	1710121533266	1710121533270	OK	 
USER	Buscar usuários	99	START	1710121533285	1710121533285
REQUEST	99		GET_usuarios	1710121533286	1710121533289	OK	 
USER	Buscar usuários	100	START	1710121533324	1710121533324
REQUEST	100		GET_usuarios	1710121533325	1710121533328	OK	 
USER	Buscar usuários	101	START	1710121533386	1710121533386
REQUEST	101		GET_usuarios	1710121533387	1710121533391	OK	 
USER	Buscar usuários	102	START	1710121533405	1710121533405
REQUEST	102		GET_usuarios	1710121533406	1710121533410	OK	 
USER	Buscar usuários	21	END	1710121529745	1710121533455
USER	Buscar usuários	103	START	1710121533485	1710121533485
REQUEST	103		GET_usuarios	1710121533486	1710121533491	OK	 
USER	Buscar usuários	104	START	1710121533576	1710121533576
REQUEST	104		GET_usuarios	1710121533577	1710121533584	OK	 
USER	Buscar usuários	105	START	1710121533605	1710121533605
REQUEST	105		GET_usuarios	1710121533606	1710121533610	OK	 
USER	Buscar usuários	19	END	1710121528685	1710121533626
USER	Buscar usuários	106	START	1710121533725	1710121533725
REQUEST	106		GET_usuarios	1710121533726	1710121533732	OK	 
USER	Buscar usuários	43	END	1710121530915	1710121533756
USER	Buscar usuários	32	END	1710121530325	1710121533776
USER	Buscar usuários	28	END	1710121530205	1710121533825
USER	Buscar usuários	49	END	1710121531235	1710121533855
USER	Buscar usuários	107	START	1710121533875	1710121533875
REQUEST	107		GET_usuarios	1710121533876	1710121533880	OK	 
USER	Buscar usuários	66	END	1710121531765	1710121533885
USER	Buscar usuários	20	END	1710121529175	1710121533966
USER	Buscar usuários	31	END	1710121530315	1710121534025
USER	Buscar usuários	108	START	1710121534035	1710121534035
REQUEST	108		GET_usuarios	1710121534036	1710121534038	OK	 
USER	Buscar usuários	109	START	1710121534055	1710121534055
REQUEST	109		GET_usuarios	1710121534056	1710121534060	OK	 
USER	Buscar usuários	53	END	1710121531345	1710121534145
USER	Buscar usuários	78	END	1710121532174	1710121534226
USER	Buscar usuários	77	END	1710121532165	1710121534255
USER	Buscar usuários	110	START	1710121534255	1710121534255
REQUEST	110		GET_usuarios	1710121534255	1710121534257	OK	 
USER	Buscar usuários	111	START	1710121534265	1710121534265
USER	Buscar usuários	27	END	1710121530195	1710121534292
USER	Buscar usuários	45	END	1710121530985	1710121534295
REQUEST	111		GET_usuarios	1710121534292	1710121534295	OK	 
USER	Buscar usuários	112	START	1710121534324	1710121534324
REQUEST	112		GET_usuarios	1710121534325	1710121534327	OK	 
USER	Buscar usuários	36	END	1710121530435	1710121534365
USER	Buscar usuários	113	START	1710121534365	1710121534365
REQUEST	113		GET_usuarios	1710121534367	1710121534372	OK	 
USER	Buscar usuários	114	START	1710121534405	1710121534405
REQUEST	114		GET_usuarios	1710121534406	1710121534411	OK	 
USER	Buscar usuários	51	END	1710121531325	1710121534466
USER	Buscar usuários	115	START	1710121534466	1710121534466
REQUEST	115		GET_usuarios	1710121534467	1710121534474	OK	 
USER	Buscar usuários	52	END	1710121531325	1710121534485
USER	Buscar usuários	116	START	1710121534485	1710121534485
REQUEST	116		GET_usuarios	1710121534485	1710121534488	OK	 
USER	Buscar usuários	117	START	1710121534505	1710121534505
REQUEST	117		GET_usuarios	1710121534506	1710121534510	OK	 
USER	Buscar usuários	61	END	1710121531655	1710121534515
USER	Buscar usuários	118	START	1710121534535	1710121534535
USER	Buscar usuários	119	START	1710121534535	1710121534535
REQUEST	118		GET_usuarios	1710121534536	1710121534541	OK	 
REQUEST	119		GET_usuarios	1710121534537	1710121534542	OK	 
USER	Buscar usuários	48	END	1710121531186	1710121534555
USER	Buscar usuários	120	START	1710121534555	1710121534555
REQUEST	120		GET_usuarios	1710121534556	1710121534558	OK	 
USER	Buscar usuários	79	END	1710121532295	1710121534565
USER	Buscar usuários	57	END	1710121531505	1710121534585
USER	Buscar usuários	80	END	1710121532385	1710121534605
USER	Buscar usuários	121	START	1710121534636	1710121534636
REQUEST	121		GET_usuarios	1710121534637	1710121534642	OK	 
USER	Buscar usuários	29	END	1710121530286	1710121534666
USER	Buscar usuários	122	START	1710121534695	1710121534695
USER	Buscar usuários	123	START	1710121534695	1710121534695
REQUEST	122		GET_usuarios	1710121534696	1710121534701	OK	 
REQUEST	123		GET_usuarios	1710121534696	1710121534702	OK	 
USER	Buscar usuários	73	END	1710121532015	1710121534715
USER	Buscar usuários	25	END	1710121530194	1710121534715
USER	Buscar usuários	124	START	1710121534725	1710121534725
REQUEST	124		GET_usuarios	1710121534725	1710121534728	OK	 
USER	Buscar usuários	62	END	1710121531705	1710121534735
USER	Buscar usuários	63	END	1710121531735	1710121534825
USER	Buscar usuários	125	START	1710121534835	1710121534835
USER	Buscar usuários	126	START	1710121534835	1710121534835
REQUEST	125		GET_usuarios	1710121534836	1710121534840	OK	 
REQUEST	126		GET_usuarios	1710121534837	1710121534841	OK	 
USER	Buscar usuários	127	START	1710121534865	1710121534865
REQUEST	127		GET_usuarios	1710121534866	1710121534869	OK	 
USER	Buscar usuários	128	START	1710121534905	1710121534905
REQUEST	128		GET_usuarios	1710121534906	1710121534908	OK	 
USER	Buscar usuários	129	START	1710121534925	1710121534925
REQUEST	129		GET_usuarios	1710121534927	1710121534931	OK	 
USER	Buscar usuários	44	END	1710121530965	1710121534965
USER	Buscar usuários	40	END	1710121530804	1710121534985
USER	Buscar usuários	75	END	1710121532034	1710121535045
USER	Buscar usuários	35	END	1710121530385	1710121535066
USER	Buscar usuários	50	END	1710121531265	1710121535066
USER	Buscar usuários	65	END	1710121531755	1710121535066
USER	Buscar usuários	41	END	1710121530815	1710121535095
USER	Buscar usuários	33	END	1710121530335	1710121535115
USER	Buscar usuários	130	START	1710121535115	1710121535115
REQUEST	130		GET_usuarios	1710121535117	1710121535122	OK	 
USER	Buscar usuários	131	START	1710121535125	1710121535125
REQUEST	131		GET_usuarios	1710121535126	1710121535128	OK	 
USER	Buscar usuários	26	END	1710121530195	1710121535135
USER	Buscar usuários	76	END	1710121532155	1710121535175
USER	Buscar usuários	37	END	1710121530516	1710121535216
USER	Buscar usuários	132	START	1710121535256	1710121535256
REQUEST	132		GET_usuarios	1710121535257	1710121535260	OK	 
USER	Buscar usuários	68	END	1710121531845	1710121535316
USER	Buscar usuários	133	START	1710121535315	1710121535315
REQUEST	133		GET_usuarios	1710121535317	1710121535322	OK	 
USER	Buscar usuários	134	START	1710121535345	1710121535345
REQUEST	134		GET_usuarios	1710121535346	1710121535350	OK	 
USER	Buscar usuários	135	START	1710121535375	1710121535375
REQUEST	135		GET_usuarios	1710121535375	1710121535377	OK	 
USER	Buscar usuários	136	START	1710121535426	1710121535426
REQUEST	136		GET_usuarios	1710121535426	1710121535431	OK	 
USER	Buscar usuários	54	END	1710121531385	1710121535435
USER	Buscar usuários	39	END	1710121530654	1710121535435
USER	Buscar usuários	64	END	1710121531735	1710121535455
USER	Buscar usuários	56	END	1710121531415	1710121535465
USER	Buscar usuários	42	END	1710121530915	1710121535485
USER	Buscar usuários	137	START	1710121535485	1710121535485
REQUEST	137		GET_usuarios	1710121535486	1710121535488	OK	 
USER	Buscar usuários	70	END	1710121531936	1710121535515
USER	Buscar usuários	138	START	1710121535535	1710121535535
REQUEST	138		GET_usuarios	1710121535536	1710121535541	OK	 
USER	Buscar usuários	100	END	1710121533324	1710121535555
USER	Buscar usuários	139	START	1710121535565	1710121535565
REQUEST	139		GET_usuarios	1710121535566	1710121535570	OK	 
USER	Buscar usuários	58	END	1710121531565	1710121535606
USER	Buscar usuários	38	END	1710121530635	1710121535615
USER	Buscar usuários	60	END	1710121531605	1710121535625
USER	Buscar usuários	105	END	1710121533605	1710121535636
USER	Buscar usuários	55	END	1710121531405	1710121535655
USER	Buscar usuários	98	END	1710121533265	1710121535655
USER	Buscar usuários	140	START	1710121535655	1710121535655
REQUEST	140		GET_usuarios	1710121535655	1710121535657	OK	 
USER	Buscar usuários	95	END	1710121533145	1710121535665
USER	Buscar usuários	46	END	1710121530985	1710121535725
USER	Buscar usuários	99	END	1710121533285	1710121535804
USER	Buscar usuários	85	END	1710121532816	1710121535875
USER	Buscar usuários	71	END	1710121531955	1710121535885
USER	Buscar usuários	141	START	1710121535885	1710121535885
REQUEST	141		GET_usuarios	1710121535886	1710121535891	OK	 
USER	Buscar usuários	142	START	1710121535935	1710121535935
REQUEST	142		GET_usuarios	1710121535936	1710121535940	OK	 
USER	Buscar usuários	143	START	1710121535956	1710121535956
REQUEST	143		GET_usuarios	1710121535956	1710121535960	OK	 
USER	Buscar usuários	47	END	1710121531065	1710121535975
USER	Buscar usuários	144	START	1710121535975	1710121535975
REQUEST	144		GET_usuarios	1710121535976	1710121535979	OK	 
USER	Buscar usuários	67	END	1710121531825	1710121535995
USER	Buscar usuários	145	START	1710121535995	1710121535995
REQUEST	145		GET_usuarios	1710121535996	1710121535999	OK	 
USER	Buscar usuários	146	START	1710121536005	1710121536005
REQUEST	146		GET_usuarios	1710121536006	1710121536008	OK	 
USER	Buscar usuários	83	END	1710121532605	1710121536015
USER	Buscar usuários	59	END	1710121531605	1710121536055
USER	Buscar usuários	147	START	1710121536065	1710121536065
USER	Buscar usuários	148	START	1710121536065	1710121536065
REQUEST	147		GET_usuarios	1710121536066	1710121536069	OK	 
REQUEST	148		GET_usuarios	1710121536066	1710121536070	OK	 
USER	Buscar usuários	93	END	1710121533085	1710121536075
USER	Buscar usuários	149	START	1710121536085	1710121536085
REQUEST	149		GET_usuarios	1710121536086	1710121536089	OK	 
USER	Buscar usuários	72	END	1710121531995	1710121536095
USER	Buscar usuários	150	START	1710121536145	1710121536145
REQUEST	150		GET_usuarios	1710121536146	1710121536151	OK	 
USER	Buscar usuários	69	END	1710121531845	1710121536165
USER	Buscar usuários	87	END	1710121532945	1710121536166
USER	Buscar usuários	81	END	1710121532395	1710121536245
USER	Buscar usuários	151	START	1710121536315	1710121536315
REQUEST	151		GET_usuarios	1710121536316	1710121536321	OK	 
USER	Buscar usuários	152	START	1710121536335	1710121536335
REQUEST	152		GET_usuarios	1710121536336	1710121536339	OK	 
USER	Buscar usuários	153	START	1710121536355	1710121536355
REQUEST	153		GET_usuarios	1710121536356	1710121536358	OK	 
USER	Buscar usuários	154	START	1710121536375	1710121536375
REQUEST	154		GET_usuarios	1710121536376	1710121536378	OK	 
USER	Buscar usuários	92	END	1710121533085	1710121536464
USER	Buscar usuários	155	START	1710121536485	1710121536485
REQUEST	155		GET_usuarios	1710121536485	1710121536487	OK	 
USER	Buscar usuários	156	START	1710121536495	1710121536495
USER	Buscar usuários	157	START	1710121536495	1710121536495
REQUEST	157		GET_usuarios	1710121536495	1710121536498	OK	 
REQUEST	156		GET_usuarios	1710121536495	1710121536498	OK	 
USER	Buscar usuários	97	END	1710121533255	1710121536576
USER	Buscar usuários	89	END	1710121533016	1710121536585
USER	Buscar usuários	158	START	1710121536585	1710121536585
REQUEST	158		GET_usuarios	1710121536586	1710121536589	OK	 
USER	Buscar usuários	119	END	1710121534535	1710121536775
USER	Buscar usuários	159	START	1710121536785	1710121536785
USER	Buscar usuários	160	START	1710121536785	1710121536785
REQUEST	159		GET_usuarios	1710121536786	1710121536791	OK	 
REQUEST	160		GET_usuarios	1710121536787	1710121536791	OK	 
USER	Buscar usuários	161	START	1710121536824	1710121536824
REQUEST	161		GET_usuarios	1710121536825	1710121536829	OK	 
USER	Buscar usuários	162	START	1710121536884	1710121536884
REQUEST	162		GET_usuarios	1710121536885	1710121536889	OK	 
USER	Buscar usuários	74	END	1710121532025	1710121536936
USER	Buscar usuários	120	END	1710121534555	1710121536955
USER	Buscar usuários	88	END	1710121532976	1710121537015
USER	Buscar usuários	163	START	1710121537035	1710121537035
REQUEST	163		GET_usuarios	1710121537036	1710121537041	OK	 
USER	Buscar usuários	130	END	1710121535115	1710121537185
USER	Buscar usuários	115	END	1710121534466	1710121537215
USER	Buscar usuários	164	START	1710121537215	1710121537215
REQUEST	164		GET_usuarios	1710121537216	1710121537221	OK	 
USER	Buscar usuários	165	START	1710121537266	1710121537266
REQUEST	165		GET_usuarios	1710121537267	1710121537271	OK	 
USER	Buscar usuários	166	START	1710121537275	1710121537275
REQUEST	166		GET_usuarios	1710121537276	1710121537279	OK	 
USER	Buscar usuários	101	END	1710121533386	1710121537305
USER	Buscar usuários	167	START	1710121537305	1710121537305
REQUEST	167		GET_usuarios	1710121537305	1710121537308	OK	 
USER	Buscar usuários	168	START	1710121537325	1710121537325
REQUEST	168		GET_usuarios	1710121537325	1710121537328	OK	 
USER	Buscar usuários	170	START	1710121537365	1710121537365
USER	Buscar usuários	169	START	1710121537365	1710121537365
REQUEST	169		GET_usuarios	1710121537365	1710121537368	OK	 
REQUEST	170		GET_usuarios	1710121537365	1710121537368	OK	 
USER	Buscar usuários	82	END	1710121532576	1710121537395
USER	Buscar usuários	84	END	1710121532635	1710121537436
USER	Buscar usuários	96	END	1710121533145	1710121537466
USER	Buscar usuários	106	END	1710121533725	1710121537496
USER	Buscar usuários	171	START	1710121537515	1710121537515
REQUEST	171		GET_usuarios	1710121537516	1710121537520	OK	 
USER	Buscar usuários	107	END	1710121533875	1710121537565
USER	Buscar usuários	110	END	1710121534255	1710121537565
USER	Buscar usuários	124	END	1710121534725	1710121537575
USER	Buscar usuários	172	START	1710121537595	1710121537595
REQUEST	172		GET_usuarios	1710121537596	1710121537601	OK	 
USER	Buscar usuários	103	END	1710121533485	1710121537625
USER	Buscar usuários	121	END	1710121534636	1710121537696
USER	Buscar usuários	90	END	1710121533016	1710121537746
USER	Buscar usuários	173	START	1710121537755	1710121537755
REQUEST	173		GET_usuarios	1710121537756	1710121537762	OK	 
USER	Buscar usuários	128	END	1710121534905	1710121537816
USER	Buscar usuários	86	END	1710121532875	1710121537825
USER	Buscar usuários	174	START	1710121537855	1710121537855
REQUEST	174		GET_usuarios	1710121537856	1710121537861	OK	 
USER	Buscar usuários	91	END	1710121533025	1710121537875
USER	Buscar usuários	175	START	1710121537895	1710121537895
REQUEST	175		GET_usuarios	1710121537896	1710121537900	OK	 
USER	Buscar usuários	94	END	1710121533115	1710121537935
USER	Buscar usuários	102	END	1710121533405	1710121537995
USER	Buscar usuários	176	START	1710121537995	1710121537995
REQUEST	176		GET_usuarios	1710121537996	1710121538000	OK	 
USER	Buscar usuários	109	END	1710121534055	1710121538025
USER	Buscar usuários	140	END	1710121535655	1710121538076
USER	Buscar usuários	177	START	1710121538135	1710121538135
REQUEST	177		GET_usuarios	1710121538137	1710121538141	OK	 
USER	Buscar usuários	178	START	1710121538145	1710121538145
REQUEST	178		GET_usuarios	1710121538145	1710121538147	OK	 
