ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	SimpleSimulation	simplesimulation	1710121519660	 	3.2.1
USER	Buscar usuários	9	START	1710121524691	1710121524691
USER	Buscar usuários	10	START	1710121524691	1710121524691
USER	Buscar usuários	8	START	1710121524687	1710121524687
USER	Buscar usuários	4	START	1710121524687	1710121524687
USER	Buscar usuários	7	START	1710121524687	1710121524687
USER	Buscar usuários	2	START	1710121524686	1710121524686
USER	Buscar usuários	6	START	1710121524688	1710121524688
USER	Buscar usuários	11	START	1710121524688	1710121524688
USER	Buscar usuários	5	START	1710121524686	1710121524686
USER	Buscar usuários	1	START	1710121524686	1710121524686
USER	Buscar usuários	3	START	1710121524686	1710121524686
REQUEST	5		GET_usuarios	1710121524791	1710121524844	OK	 
REQUEST	9		GET_usuarios	1710121524790	1710121524879	OK	 
REQUEST	3		GET_usuarios	1710121524790	1710121524878	OK	 
REQUEST	2		GET_usuarios	1710121524790	1710121524859	OK	 
REQUEST	11		GET_usuarios	1710121524790	1710121524880	OK	 
REQUEST	8		GET_usuarios	1710121524790	1710121524889	OK	 
REQUEST	7		GET_usuarios	1710121524790	1710121524844	OK	 
REQUEST	4		GET_usuarios	1710121524791	1710121524880	OK	 
REQUEST	10		GET_usuarios	1710121524791	1710121524846	OK	 
REQUEST	1		GET_usuarios	1710121524791	1710121524885	OK	 
REQUEST	6		GET_usuarios	1710121524790	1710121524878	OK	 
USER	Buscar usuários	12	START	1710121525174	1710121525174
REQUEST	12		GET_usuarios	1710121525175	1710121525184	OK	 
USER	Buscar usuários	13	START	1710121525674	1710121525674
REQUEST	13		GET_usuarios	1710121525675	1710121525679	OK	 
USER	Buscar usuários	14	START	1710121526185	1710121526185
REQUEST	14		GET_usuarios	1710121526185	1710121526190	OK	 
USER	Buscar usuários	15	START	1710121526685	1710121526685
REQUEST	15		GET_usuarios	1710121526687	1710121526695	OK	 
USER	Buscar usuários	16	START	1710121527175	1710121527175
USER	Buscar usuários	10	END	1710121524691	1710121527179
REQUEST	16		GET_usuarios	1710121527178	1710121527186	OK	 
USER	Buscar usuários	1	END	1710121524686	1710121527476
USER	Buscar usuários	4	END	1710121524687	1710121527625
USER	Buscar usuários	12	END	1710121525174	1710121527625
USER	Buscar usuários	17	START	1710121527676	1710121527676
REQUEST	17		GET_usuarios	1710121527677	1710121527684	OK	 
USER	Buscar usuários	7	END	1710121524687	1710121527685
USER	Buscar usuários	13	END	1710121525674	1710121527735
USER	Buscar usuários	18	START	1710121528186	1710121528186
REQUEST	18		GET_usuarios	1710121528187	1710121528192	OK	 
USER	Buscar usuários	3	END	1710121524686	1710121528305
USER	Buscar usuários	8	END	1710121524687	1710121528325
USER	Buscar usuários	9	END	1710121524691	1710121528506
USER	Buscar usuários	19	START	1710121528685	1710121528685
REQUEST	19		GET_usuarios	1710121528687	1710121528693	OK	 
USER	Buscar usuários	5	END	1710121524686	1710121528935
USER	Buscar usuários	2	END	1710121524686	1710121529065
USER	Buscar usuários	20	START	1710121529175	1710121529175
REQUEST	20		GET_usuarios	1710121529176	1710121529180	OK	 
USER	Buscar usuários	6	END	1710121524688	1710121529476
USER	Buscar usuários	11	END	1710121524688	1710121529535
USER	Buscar usuários	21	START	1710121529745	1710121529745
REQUEST	21		GET_usuarios	1710121529747	1710121529754	OK	 
USER	Buscar usuários	22	START	1710121529875	1710121529875
REQUEST	22		GET_usuarios	1710121529876	1710121529881	OK	 
USER	Buscar usuários	23	START	1710121529955	1710121529955
REQUEST	23		GET_usuarios	1710121529956	1710121529959	OK	 
USER	Buscar usuários	24	START	1710121529975	1710121529975
REQUEST	24		GET_usuarios	1710121529976	1710121529978	OK	 
USER	Buscar usuários	25	START	1710121530194	1710121530194
USER	Buscar usuários	26	START	1710121530195	1710121530195
USER	Buscar usuários	27	START	1710121530195	1710121530195
REQUEST	27		GET_usuarios	1710121530195	1710121530200	OK	 
REQUEST	25		GET_usuarios	1710121530195	1710121530200	OK	 
REQUEST	26		GET_usuarios	1710121530195	1710121530201	OK	 
USER	Buscar usuários	15	END	1710121526685	1710121530205
USER	Buscar usuários	28	START	1710121530205	1710121530205
REQUEST	28		GET_usuarios	1710121530206	1710121530209	OK	 
USER	Buscar usuários	29	START	1710121530286	1710121530286
REQUEST	29		GET_usuarios	1710121530287	1710121530294	OK	 
USER	Buscar usuários	30	START	1710121530295	1710121530295
REQUEST	30		GET_usuarios	1710121530295	1710121530298	OK	 
USER	Buscar usuários	31	START	1710121530315	1710121530315
REQUEST	31		GET_usuarios	1710121530315	1710121530319	OK	 
USER	Buscar usuários	32	START	1710121530325	1710121530325
REQUEST	32		GET_usuarios	1710121530326	1710121530329	OK	 
USER	Buscar usuários	33	START	1710121530335	1710121530335
REQUEST	33		GET_usuarios	1710121530335	1710121530338	OK	 
USER	Buscar usuários	34	START	1710121530365	1710121530365
REQUEST	34		GET_usuarios	1710121530366	1710121530369	OK	 
USER	Buscar usuários	35	START	1710121530385	1710121530385
REQUEST	35		GET_usuarios	1710121530386	1710121530390	OK	 
USER	Buscar usuários	36	START	1710121530435	1710121530435
REQUEST	36		GET_usuarios	1710121530437	1710121530442	OK	 
USER	Buscar usuários	37	START	1710121530516	1710121530516
REQUEST	37		GET_usuarios	1710121530517	1710121530523	OK	 
USER	Buscar usuários	16	END	1710121527175	1710121530606
USER	Buscar usuários	14	END	1710121526185	1710121530615
USER	Buscar usuários	38	START	1710121530635	1710121530635
REQUEST	38		GET_usuarios	1710121530636	1710121530641	OK	 
USER	Buscar usuários	39	START	1710121530654	1710121530654
REQUEST	39		GET_usuarios	1710121530655	1710121530659	OK	 
USER	Buscar usuários	17	END	1710121527676	1710121530704
USER	Buscar usuários	40	START	1710121530804	1710121530804
REQUEST	40		GET_usuarios	1710121530805	1710121530808	OK	 
USER	Buscar usuários	41	START	1710121530815	1710121530815
REQUEST	41		GET_usuarios	1710121530815	1710121530818	OK	 
USER	Buscar usuários	42	START	1710121530915	1710121530915
USER	Buscar usuários	43	START	1710121530915	1710121530915
REQUEST	43		GET_usuarios	1710121530916	1710121530923	OK	 
REQUEST	42		GET_usuarios	1710121530916	1710121530923	OK	 
USER	Buscar usuários	44	START	1710121530965	1710121530965
REQUEST	44		GET_usuarios	1710121530966	1710121530972	OK	 
USER	Buscar usuários	45	START	1710121530985	1710121530985
USER	Buscar usuários	46	START	1710121530985	1710121530985
REQUEST	45		GET_usuarios	1710121530985	1710121530988	OK	 
REQUEST	46		GET_usuarios	1710121530985	1710121530990	OK	 
USER	Buscar usuários	47	START	1710121531065	1710121531065
REQUEST	47		GET_usuarios	1710121531066	1710121531073	OK	 
USER	Buscar usuários	48	START	1710121531186	1710121531186
REQUEST	48		GET_usuarios	1710121531187	1710121531193	OK	 
USER	Buscar usuários	49	START	1710121531235	1710121531235
REQUEST	49		GET_usuarios	1710121531235	1710121531237	OK	 
