ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710037435256	 	3.2.1
USER	Buscar carrinhos	18	START	1710037436647	1710037436647
USER	Buscar usuários	1	START	1710037436639	1710037436639
USER	Buscar produtos	12	START	1710037436645	1710037436645
REQUEST	12		GET_produtos	1710037436663	1710037436689	OK	 
REQUEST	1		GET_usuarios	1710037436663	1710037436689	OK	 
REQUEST	18		GET_carrinhos	1710037436663	1710037436689	KO	jsonPath($.quantidade).find.is(16), but actually found 1
USER	Buscar usuários	2	START	1710037436860	1710037436860
REQUEST	2		GET_usuarios	1710037436861	1710037436867	OK	 
USER	Buscar produtos	13	START	1710037436979	1710037436979
REQUEST	13		GET_produtos	1710037436981	1710037436988	OK	 
USER	Buscar usuários	3	START	1710037437060	1710037437060
REQUEST	3		GET_usuarios	1710037437062	1710037437069	OK	 
USER	Buscar usuários	4	START	1710037437260	1710037437260
REQUEST	4		GET_usuarios	1710037437261	1710037437268	OK	 
USER	Buscar produtos	14	START	1710037437320	1710037437320
REQUEST	14		GET_produtos	1710037437322	1710037437329	OK	 
USER	Buscar usuários	5	START	1710037437460	1710037437460
REQUEST	5		GET_usuarios	1710037437460	1710037437465	OK	 
USER	Buscar produtos	15	START	1710037437650	1710037437650
USER	Buscar carrinhos	19	START	1710037437650	1710037437650
REQUEST	15		GET_produtos	1710037437651	1710037437658	OK	 
REQUEST	19		GET_carrinhos	1710037437651	1710037437658	KO	jsonPath($.quantidade).find.is(16), but actually found 1
USER	Buscar usuários	6	START	1710037437659	1710037437659
REQUEST	6		GET_usuarios	1710037437660	1710037437666	OK	 
USER	Buscar usuários	7	START	1710037437860	1710037437860
REQUEST	7		GET_usuarios	1710037437862	1710037437866	OK	 
USER	Buscar usuários	8	START	1710037438060	1710037438060
REQUEST	8		GET_usuarios	1710037438062	1710037438069	OK	 
USER	Buscar produtos	16	START	1710037438150	1710037438150
REQUEST	16		GET_produtos	1710037438151	1710037438158	OK	 
USER	Buscar usuários	9	START	1710037438260	1710037438260
REQUEST	9		GET_usuarios	1710037438261	1710037438269	OK	 
USER	Buscar usuários	10	START	1710037438460	1710037438460
REQUEST	10		GET_usuarios	1710037438461	1710037438471	OK	 
USER	Buscar produtos	17	START	1710037438650	1710037438650
USER	Buscar carrinhos	20	START	1710037438650	1710037438650
REQUEST	17		GET_produtos	1710037438652	1710037438659	OK	 
