ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710113231760	 	3.2.1
USER	Buscar carrinhos	22	START	1710113232534	1710113232534
USER	Editar Usuário	25	START	1710113232534	1710113232534
USER	Buscar produtos	1	START	1710113232528	1710113232528
REQUEST	25		PUT_Usuario	1710113232552	1710113232576	KO	status.find.is(201), but actually found 400
USER	Editar Usuário	25	END	1710113232534	1710113232596
REQUEST	1		GET_produtos	1710113232552	1710113232597	OK	 
REQUEST	22		GET_carrinhos	1710113232552	1710113232576	OK	 
USER	Buscar produtos	2	START	1710113232639	1710113232639
REQUEST	2		GET_produtos	1710113232639	1710113232643	OK	 
USER	Buscar produtos	3	START	1710113232740	1710113232740
REQUEST	3		GET_produtos	1710113232742	1710113232750	OK	 
USER	Buscar produtos	4	START	1710113232840	1710113232840
REQUEST	4		GET_produtos	1710113232841	1710113232849	OK	 
USER	Buscar produtos	5	START	1710113232939	1710113232939
REQUEST	5		GET_produtos	1710113232940	1710113232945	OK	 
USER	Buscar produtos	6	START	1710113233039	1710113233039
REQUEST	6		GET_produtos	1710113233040	1710113233045	OK	 
USER	Buscar produtos	7	START	1710113233139	1710113233139
REQUEST	7		GET_produtos	1710113233140	1710113233146	OK	 
USER	Buscar produtos	8	START	1710113233239	1710113233239
REQUEST	8		GET_produtos	1710113233240	1710113233245	OK	 
USER	Buscar produtos	9	START	1710113233339	1710113233339
REQUEST	9		GET_produtos	1710113233339	1710113233344	OK	 
USER	Buscar produtos	10	START	1710113233440	1710113233440
REQUEST	10		GET_produtos	1710113233441	1710113233449	OK	 
USER	Editar Usuário	26	START	1710113233529	1710113233529
USER	Buscar carrinhos	23	START	1710113233529	1710113233529
REQUEST	26		PUT_Usuario	1710113233530	1710113233535	KO	status.find.is(201), but actually found 400
USER	Editar Usuário	26	END	1710113233529	1710113233536
REQUEST	23		GET_carrinhos	1710113233530	1710113233537	OK	 
USER	Buscar produtos	11	START	1710113233539	1710113233539
REQUEST	11		GET_produtos	1710113233539	1710113233544	OK	 
USER	Buscar produtos	12	START	1710113233639	1710113233639
REQUEST	12		GET_produtos	1710113233640	1710113233645	OK	 
