ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710037381713	 	3.2.1
USER	Buscar usuários	1	START	1710037382596	1710037382596
USER	Buscar carrinhos	18	START	1710037382605	1710037382605
USER	Buscar produtos	12	START	1710037382605	1710037382605
REQUEST	1		GET_usuarios	1710037382622	1710037382644	OK	 
REQUEST	12		GET_produtos	1710037382622	1710037382643	OK	 
REQUEST	18		GET_carrinhos	1710037382622	1710037382640	OK	 
USER	Buscar usuários	2	START	1710037382811	1710037382811
REQUEST	2		GET_usuarios	1710037382812	1710037382817	OK	 
USER	Buscar produtos	13	START	1710037382942	1710037382942
REQUEST	13		GET_produtos	1710037382944	1710037382952	OK	 
USER	Buscar usuários	3	START	1710037383021	1710037383021
REQUEST	3		GET_usuarios	1710037383023	1710037383030	OK	 
USER	Buscar usuários	4	START	1710037383221	1710037383221
REQUEST	4		GET_usuarios	1710037383221	1710037383226	OK	 
USER	Buscar produtos	14	START	1710037383271	1710037383271
REQUEST	14		GET_produtos	1710037383272	1710037383280	OK	 
USER	Buscar usuários	5	START	1710037383421	1710037383421
REQUEST	5		GET_usuarios	1710037383423	1710037383432	OK	 
USER	Buscar carrinhos	19	START	1710037383611	1710037383611
USER	Buscar produtos	15	START	1710037383611	1710037383611
REQUEST	15		GET_produtos	1710037383613	1710037383623	OK	 
USER	Buscar usuários	6	START	1710037383621	1710037383621
REQUEST	19		GET_carrinhos	1710037383613	1710037383623	OK	 
REQUEST	6		GET_usuarios	1710037383623	1710037383630	OK	 
USER	Buscar usuários	7	START	1710037383821	1710037383821
REQUEST	7		GET_usuarios	1710037383823	1710037383830	OK	 
USER	Buscar usuários	8	START	1710037384022	1710037384022
REQUEST	8		GET_usuarios	1710037384023	1710037384031	OK	 
USER	Buscar produtos	16	START	1710037384111	1710037384111
REQUEST	16		GET_produtos	1710037384113	1710037384120	OK	 
USER	Buscar usuários	9	START	1710037384221	1710037384221
REQUEST	9		GET_usuarios	1710037384222	1710037384229	OK	 
USER	Buscar usuários	10	START	1710037384421	1710037384421
REQUEST	10		GET_usuarios	1710037384423	1710037384430	OK	 
USER	Buscar carrinhos	20	START	1710037384611	1710037384611
USER	Buscar produtos	17	START	1710037384612	1710037384612
REQUEST	17		GET_produtos	1710037384613	1710037384620	OK	 
REQUEST	20		GET_carrinhos	1710037384613	1710037384621	OK	 
USER	Buscar usuários	11	START	1710037384621	1710037384621
REQUEST	11		GET_usuarios	1710037384622	1710037384626	OK	 
USER	Buscar usuários	21	START	1710037384811	1710037384811
REQUEST	21		GET_usuarios	1710037384813	1710037384818	OK	 
USER	Buscar produtos	26	START	1710037384941	1710037384941
REQUEST	26		GET_produtos	1710037384942	1710037384947	OK	 
USER	Buscar usuários	22	START	1710037385011	1710037385011
REQUEST	22		GET_usuarios	1710037385012	1710037385019	OK	 
USER	Buscar usuários	23	START	1710037385211	1710037385211
REQUEST	23		GET_usuarios	1710037385212	1710037385219	OK	 
USER	Buscar produtos	27	START	1710037385271	1710037385271
REQUEST	27		GET_produtos	1710037385272	1710037385277	OK	 
USER	Buscar usuários	24	START	1710037385411	1710037385411
REQUEST	24		GET_usuarios	1710037385412	1710037385418	OK	 
USER	Buscar usuários	5	END	1710037383421	1710037385594
USER	Buscar carrinhos	29	START	1710037385601	1710037385601
REQUEST	29		GET_carrinhos	1710037385602	1710037385605	OK	 
USER	Buscar produtos	28	START	1710037385611	1710037385611
USER	Buscar usuários	25	START	1710037385611	1710037385611
REQUEST	28		GET_produtos	1710037385611	1710037385614	OK	 
REQUEST	25		GET_usuarios	1710037385611	1710037385615	OK	 
USER	Buscar usuários	30	START	1710037385811	1710037385811
REQUEST	30		GET_usuarios	1710037385811	1710037385815	OK	 
USER	Buscar produtos	12	END	1710037382605	1710037385852
USER	Buscar usuários	7	END	1710037383821	1710037385961
USER	Buscar usuários	31	START	1710037386011	1710037386011
REQUEST	31		GET_usuarios	1710037386013	1710037386017	OK	 
USER	Buscar produtos	35	START	1710037386111	1710037386111
REQUEST	35		GET_produtos	1710037386113	1710037386118	OK	 
USER	Buscar usuários	32	START	1710037386211	1710037386211
