ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710117394984	 	3.2.1
USER	Buscar produtos	1	START	1710117395637	1710117395637
USER	Editar Usuário	25	START	1710117395650	1710117395650
USER	Buscar carrinhos	22	START	1710117395646	1710117395646
USER	Buscar produtos	2	START	1710117395738	1710117395738
REQUEST	25		PUT_Usuario	1710117395674	1710117395729	KO	status.find.is(201), but actually found 400
USER	Editar Usuário	25	END	1710117395650	1710117395755
REQUEST	2		GET_produtos	1710117395739	1710117395754	OK	 
REQUEST	1		GET_produtos	1710117395674	1710117395757	OK	 
REQUEST	22		GET_carrinhos	1710117395674	1710117395749	OK	 
USER	Buscar produtos	3	START	1710117395838	1710117395838
REQUEST	3		GET_produtos	1710117395839	1710117395845	OK	 
USER	Buscar produtos	4	START	1710117395939	1710117395939
REQUEST	4		GET_produtos	1710117395940	1710117395947	OK	 
USER	Buscar produtos	5	START	1710117396048	1710117396048
REQUEST	5		GET_produtos	1710117396049	1710117396055	OK	 
USER	Buscar produtos	6	START	1710117396149	1710117396149
REQUEST	6		GET_produtos	1710117396150	1710117396157	OK	 
USER	Buscar produtos	7	START	1710117396249	1710117396249
REQUEST	7		GET_produtos	1710117396250	1710117396255	OK	 
USER	Buscar produtos	8	START	1710117396349	1710117396349
REQUEST	8		GET_produtos	1710117396350	1710117396355	OK	 
USER	Buscar produtos	9	START	1710117396449	1710117396449
REQUEST	9		GET_produtos	1710117396449	1710117396456	OK	 
USER	Buscar produtos	10	START	1710117396549	1710117396549
REQUEST	10		GET_produtos	1710117396551	1710117396559	OK	 
USER	Buscar carrinhos	23	START	1710117396629	1710117396629
USER	Editar Usuário	26	START	1710117396639	1710117396639
REQUEST	23		GET_carrinhos	1710117396631	1710117396639	OK	 
REQUEST	26		PUT_Usuario	1710117396639	1710117396644	KO	status.find.is(201), but actually found 400
USER	Editar Usuário	26	END	1710117396639	1710117396645
USER	Buscar produtos	11	START	1710117396649	1710117396649
